1  fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                           dct_serial                           |   dct_make    |      dct_model      | dct_type |           dct_name            | location 
400                    |            |                   | 7872229                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLAB-ENCL 3          | EVDC

401                    |            |                   | 7872445                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLAB-ENCL 4          | EVDC

402                    |            |                   | 7875428                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLAB-ENCL 5          | EVDC

403                    |            |                   | 7865837                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLABMGMT             | EVDC

404                    |            |                   | 781E302                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-1 20                   | EVDC

405                    |            |                   | 781E680                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-1 ENCL 2               | EVDC

406                    |            |                   | 781E665                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-1 ENCL 3               | EVDC

407                    |            |                   | 781E632                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-1 ENCL 4               | EVDC

408                    |            |                   | 781E717                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-1 ENCL 6               | EVDC

409                    |            |                   | 781E741                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-1 ENCL 7               | EVDC

410                    |            |                   | 781E814                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-1MGMT                  | EVDC

411                    |            |                   | 781E300                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-2 10                   | EVDC

412                    |            |                   | 781E716                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-2 ENCL 2               | EVDC

413                    |            |                   | 781E684                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-2 ENCL 3               | EVDC

414                    |            |                   | 781E700                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-2 ENCL 4               | EVDC

415                    |            |                   | 781E685                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-2 ENCL 5               | EVDC

416                    |            |                   | 781E707                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-2 ENCL 6               | EVDC

417                    |            |                   | 781E803                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-2MGMT                  | EVDC

418  00088057          | PUR1331898 | 781BW72           | 781BW72                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-1MGMT          | EVDC

419                    |            |                   | 781BP53                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL1          | EVDC

420                    |            |                   | 781BR46                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL2          | EVDC

421                    |            |                   | 781BP99                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL3          | EVDC

422                    |            |                   | 781BR11                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL4          | EVDC

423                    |            |                   | 781BR43                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL5          | EVDC

424                    |            |                   | 781BP94                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL6          | EVDC

425                    |            |                   | 781BP94                                                        | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL7          | EVDC

426                    |            |                   | MT1127X00447                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON01-IB-1               | EVDC

427                    |            |                   | MT1127X00428                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON01-IB-2               | EVDC

428                    |            |                   | MT1236X02134                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON02-IB-1               | EVDC

429                    |            |                   | M71234X02260                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON02-IB-2               | EVDC

430                    |            |                   | MT1751K21082                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON03-IB-1 (36)          | EVDC

431                    |            |                   | MT1751K21088                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON03-IB-2 (36)          | EVDC

432                    |            |                   |                                                                | PROE HARDWARE | PRO472              | STORAGE  | BACKUP2 MASTER                | EVDC

433                    |            |                   |                                                                | PROE HARDWARE | PRO472              | STORAGE  | BACKUP2 MASTER                | EVDC

434                    |            |                   | AAG2915005018                                                  | PROE HARDWARE | PRO490              | STORAGE  | BACKUP2 SLAVE                 | EVDC

435 (432 rows)

436 

