 fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
 00080273          | PUR0846848 | 7YZZC42           | 7YZZC42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD49
 00080219          | PUR0886039 | 5XQ4V52           | 5XQ4V52                                      | DELL          | POWEREDGE R730XD    | SERVER   | EVESXTNSC01N02
 N0031698          | PUR0886039 | 5XQ5V52           | 5XQ5V52                                      | DELL          | POWEREDGE R730XD    | SERVER   | EVESXTNSC01N03
                   |            |                   | 12S3HQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVITCSPDC
 00088059          | PUR1333389 | 4GS9HQ2           | 4GS9HQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVNBMS01
 00088060          | PUR1333389 | 4GRHHQ2           | 4GRHHQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVNBMS02
 00088058          | PUR1333389 | 4GSCHQ2           | 4GSCHQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVNBMSTR01
 00080199          | PUR0974187 | 7N98FB2           | 7N98FB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVPUMHOST
 00080323          | PUR0715639 | HP7YK02           | HP7YK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP10
                   |            |                   | 6ZSRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACP11
                   |            |                   | 6ZSSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACP12
                   |            |                   | 6ZRSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACP13
                   |            |                   | 6ZVQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACP14
                   |            |                   | HP6TK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP6
 00080320          | PUR0715639 | HP9TK02           | HP9TK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP7
 00080321          | PUR0715639 | HP8XK02           | HP8XK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP8
                   |            |                   | HP6WK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP9
 00080331          | PUR0783342 | D357P22           | D357P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR07
 00080332          | PUR0783342 | D345P22           | D345P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR08
                   |            |                   | D354P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR10
                   |            |                   | 6ZVSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR11
                   |            |                   | 6ZWRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR12
                   |            |                   | 6ZWQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR13
                   |            |                   | 6ZTRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR14
                   |            |                   | 6ZSQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR15
                   |            |                   | 6ZRQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR16
 00080330          | PUR0783342 | D337P22           | D337P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR6
