 fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                           dct_serial                           |   dct_make    |      dct_model      | dct_type |           dct_name            | location 
 00079348          | PUR1148114 | HLQWHH2           | HLQWHH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N06                   | EVDC
                   |            |                   | HLQZHH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N07                   | EVDC
 00079346          | PUR1148114 | HLQDJH2           | HLQDJH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N08                   | EVDC
                   |            |                   | 5Y0XQP2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N01-U39               | EVDC
                   |            |                   | 5Y0WQP2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N02-U39               | EVDC
                   |            |                   | J243HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N03-O34               | EVDC
                   |            |                   | J245HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N04-O34               | EVDC
                   |            |                   | J247HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N05-S34               | EVDC
                   |            |                   | J244HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N06-S34               | EVDC
                   |            |                   | J246HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N07-S34               | EVDC
                   | PUR1523314 | 38W4H13           | 38W4H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N01-V34               | EVDC
                   | PUR1523314 | 38V9H13           | 38V9H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N02-V34               | EVDC
                   | PUR1523314 | 38W3H13           | 38W3H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N03-V34               | EVDC
                   | PUR1521352 | 3CQ4H13           | 3CQ4H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N04-P39               | EVDC
                   | PUR1521352 | 2CFYG13           | 2CFYG13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N05-P39               | EVDC
                   | PUR1521352 | 3CQ6H13           | 3CQ6H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N06-P39               | EVDC
                   | PUR1521352 | 3CP9H13           | 3CP9H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N07-P39               | EVDC
                   | PUR1521352 | 3CQ8H13           | 3CQ8H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N01-V34               | EVDC
                   | PUR1521352 | 3CQ9H13           | 3CQ9H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N02-V34               | EVDC
                   | PUR1521352 | 3CQ7H13           | 3CQ7H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N03-V34               | EVDC
                   | PUR1521352 | 3CQ3H13           | 3CQ3H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N04-V34               | EVDC
                   | PUR1521352 | 3CR3H13           | 3CR3H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N05-Q34               | EVDC
                   | PUR1521352 | 3CP8H13           | 3CP8H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N06-Q34               | EVDC
                   | PUR1521352 | 3CQ5H13           | 3CQ5H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N07-Q34               | EVDC
 00081517          | PUR0864605 | H17HR52           | H17HR52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD31                  | EVDC
 00081513          | PUR0864605 | H17JR52           | H17JR52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD32                  | EVDC
 00081512          | PUR0864605 | H17KR52           | H17KR52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD33                  | EVDC
 00081493          | PUR1001752 | HHPHHB2           | HHPHHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD34                  | EVDC
 00081492          | PUR1001752 | HHPJHB2           | HHPJHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD35                  | EVDC
 00079271          | PUR1167138 | HRK6GK2           | HRK6GK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD36                  | EVDC
 00079273          | PUR1167138 | HRK7GK2           | HRK7GK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD37                  | EVDC
                   |            |                   | 84VVFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD38                  | EVDC
                   |            |                   | 84VTFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD39                  | EVDC
                   |            |                   | 84VSFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD40                  | EVDC
                   |            |                   | 84VWFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD41                  | EVDC
