1                name               |           model            |  asset_type  | serial_number 
127  LEV-RTR-2                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGMQ

128  LEV-RTR-2                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGLG

129  LEV-RTR-2                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGJP

130  LEV-RTR-2                        | N7K-SUP2E                  | ROUTERMODULE | JAE19430992

131  LEV-RTR-2                        | N7K-F248XP-25E             | ROUTERMODULE | JAF1651ABCS

132  LEV-RTR-2                        | N7K-F248XP-25E             | ROUTERMODULE | JAF1702BCBP

133  LEV-RTR-2                        | N7K-SUP2E                  | ROUTERMODULE | JAE194309AP

134  LEV-RTR-2                        | N7K-M108X2-12L             | ROUTERMODULE | JAF1625ADSC

135  LEV-RTR-4                        | WS-X6704-10GE              | ROUTERMODULE | SAL11402VWD

136  LEV-RTR-4                        | WS-X6704-10GE              | ROUTERMODULE | SAL1429N5PU

137  LEV-RTR-4                        | WS-X6704-10GE              | ROUTERMODULE | SAL1428MME8

138  LEV-RTR-4                        | WS-X6704-10GE              | ROUTERMODULE | SAL1150A1RM

139  LEV-RTR-4                        | VS-SUP2T-10G               | ROUTERMODULE | SAL1751J8QM

140  LEV-RTR-4                        | WS-X6704-10GE              | ROUTERMODULE | SAL1429N7A6

141  LEV-RTR-4                        | WS-X6704-10GE              | ROUTERMODULE | SAL1429N7AW

142  LEV-RTR-4                        | WS-X6704-10GE              | ROUTERMODULE | SAL1027TY65

143  LEV-RTR-4                        | VS-SUP2T-10G               | ROUTERMODULE | SAL1801JWPJ

144  LEV-RTR-5                        | N7K-M224XP-23L             | ROUTERMODULE | JAF1829ATKQ

145  LEV-RTR-5                        | N7K-SUP2E                  | ROUTERMODULE | JAF1722AMHS

146  LEV-RTR-5                        | N7K-SUP2E                  | ROUTERMODULE | JAF1723AQQG

147  LEV-RTR-5                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGHQ

148  LEV-RTR-5                        | N7K-M202CF-22L             | ROUTERMODULE | JAE202200U1

149  LEV-RTR-5                        | N7K-M224XP-23L             | ROUTERMODULE | JAF1725AFPB

150  LEV-RTR-7                        | N7K-M108X2-12L             | ROUTERMODULE | JAF1626AGTG

151  LEV-RTR-7                        | N7K-F248XP-25E             | ROUTERMODULE | JAF1651AESG

152  LEV-RTR-7                        | N7K-M108X2-12L             | ROUTERMODULE | JAF1624ABJP

153  LEV-RTR-7                        | N7K-SUP2E                  | ROUTERMODULE | JAE1916051T

154  LEV-RTR-7                        | N7K-SUP2E                  | ROUTERMODULE | JAE19160526

155  LEV-RTR-7                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AFTT

