name,model,serial,ip,software,module_ip,module_num,firmware,hw,last_seen
CORALGABLES-IDF-ESW-1,WS-C3850-48P-E,FCW1933D1A1,129.105.247.23,DENALI 16.3.8,0.0.0.0,3,,V05,4/27/20 1:00
1914SHDN-B-ESW-1,WS-C3850-48P-L,FCW2142C1RX,10.100.8.11,DENALI 16.3.9,0.0.0.0,0,,V07,4/27/20 1:00
1908SHDN-B-ESW-1,WS-C3850-48P-L,FCW2142F1FM,10.100.8.35,DENALI 16.3.9,0.0.0.0,0,,V07,4/27/20 1:00
1902SHDN-B-ESW-1,WS-C3850-48P-L,FCW2142D1XF,10.100.8.36,DENALI 16.3.9,0.0.0.0,0,,V07,4/27/20 1:00
1900ORR-B-ESW-1,WS-C3750X-24P,FDO1522R15L,10.100.10.12,15.2(4)E6,0.0.0.0,0,,V02,4/27/20 1:00
1823SHERMAN-B-ESW-1,WS-C3750X-24P,FDO1522R15V,10.100.10.11,15.2(4)E6,0.0.0.0,0,,V02,4/27/20 1:00
1810CHI-B-ESW-2,3850-STACK,FOC1810X02N,10.100.10.67,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
1810CHI-B-ESW-2,WS-C3850-48P-L,FCW2050F08L,10.100.10.67,DENALI 16.3.9,0.0.0.0,1,,V07,4/27/20 1:00
1810CHI-B-ESW-2,WS-C3850-48P-L,FOC1810X02N,10.100.10.67,DENALI 16.3.9,0.0.0.0,2,,V03,4/27/20 1:00
1808CHI-B-ESW-1,WS-C3850-48P-L,FOC2035X0EU,10.100.10.96,DENALI 16.3.9,0.0.0.0,0,,V07,4/27/20 1:00
1800SHERMAN-6-ESW-6,WS-C3850-24P-L,FOC1743U0PD,10.100.10.29,DENALI 16.3.9,0.0.0.0,0,,V02,4/27/20 1:00
LURIE-RTR-1,WS-C6509-E,SMG1003N11R,199.249.169.166,,0.0.0.0,0,,,4/27/20 1:00
303EWACKER-16-ESW-1,WS-C3850-48P-L,FOC1939X0UM,10.100.24.23,DENALI 16.3.9,0.0.0.0,2,,V06,4/27/20 1:00
303EWACKER-16-ESW-1,WS-C3850-48P-L,FOC2001X1HB,10.100.24.23,DENALI 16.3.9,0.0.0.0,3,,V06,4/27/20 1:00
303EWACKER-16-ESW-1,WS-C3850-48P-L,FCW1935D0GZ,10.100.24.23,DENALI 16.3.9,0.0.0.0,4,,V05,4/27/20 1:00
LEV-G158-0G0117-ESW-1,WS-C3850-24P-L,FOC1919U0W5,10.100.3.12,DENALI 16.3.7,0.0.0.0,0,,V05,4/27/20 1:00
KRESGE-1332-ESW-1,3850-STACK,FCW2025F4B5,10.100.4.59,DENALI 16.3.7,0.0.0.0,0,,,4/27/20 1:00
KRESGE-1332-ESW-1,WS-C3850-48P-L,FOC2001U1FN,10.100.4.59,DENALI 16.3.7,0.0.0.0,1,,V06,4/27/20 1:00
KRESGE-1332-ESW-1,WS-C3850-48P-L,FOC2001U0Y2,10.100.4.59,DENALI 16.3.7,0.0.0.0,2,,V06,4/27/20 1:00
KRESGE-1332-ESW-1,WS-C3850-48P-L,FCW2001C1DC,10.100.4.59,DENALI 16.3.7,0.0.0.0,3,,V06,4/27/20 1:00
KRESGE-1332-ESW-1,WS-C3850-48P-L,FCW2001C0VQ,10.100.4.59,DENALI 16.3.7,0.0.0.0,4,,V06,4/27/20 1:00
KRESGE-1332-ESW-1,WS-C3850-48P-L,FCW2001D0S3,10.100.4.59,DENALI 16.3.7,0.0.0.0,5,,V06,4/27/20 1:00
CROWN-G593-ESW-1,3850-STACK,FOC1928U0HU,10.100.10.80,DENALI 16.3.8,0.0.0.0,0,,,4/27/20 1:00
MCMANUS-GARAGE-ESW-2,3850-STACK,FOC1911U088,10.100.10.74,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
MCMANUS-GARAGE-ESW-2,WS-C3850-48P-L,FCW1919C05L,10.100.10.74,DENALI 16.3.9,0.0.0.0,1,,V04,4/27/20 1:00
MCMANUS-GARAGE-ESW-2,WS-C3850-48P-L,FOC1915U0S7,10.100.10.74,DENALI 16.3.9,0.0.0.0,2,,V05,4/27/20 1:00
MCMANUS-GARAGE-ESW-2,WS-C3850-48P-L,FOC1911U088,10.100.10.74,DENALI 16.3.9,0.0.0.0,3,,V04,4/27/20 1:00
TECH-E228-ESW-1,WS-C3850-48P-L,FOC1838U152,10.100.6.48,DENALI 16.3.9,0.0.0.0,2,,V04,4/27/20 1:00
TECH-E228-ESW-1,WS-C3850-48P-L,FCW1838C185,10.100.6.48,DENALI 16.3.9,0.0.0.0,3,,V04,4/27/20 1:00
TECH-E228-ESW-1,WS-C3850-48P-L,FOC1838X13A,10.100.6.48,DENALI 16.3.9,0.0.0.0,4,,V04,4/27/20 1:00
TECH-E328-ESW-1,3750-STACK,FDO1528R0H5,10.100.6.46,15.2(4)E6,0.0.0.0,0,,,4/27/20 1:00
TECH-E328-ESW-1,WS-C3750X-48P,FDO1528P0GP,10.100.6.46,15.2(4)E6,0.0.0.0,1,,V02,4/27/20 1:00
TECH-E328-ESW-1,WS-C3750X-48P,FDO1528R0H5,10.100.6.46,15.2(4)E6,0.0.0.0,2,,V02,4/27/20 1:00
TECH-E328-ESW-1,WS-C3750X-48P,FDO1629R4QH,10.100.6.46,15.2(4)E6,0.0.0.0,3,,V03,4/27/20 1:00
CROWN-1E-ESW-1,3850-STACK,FOC1933U12Z,10.100.10.83,DENALI 16.3.8,0.0.0.0,0,,,4/27/20 1:00
CROWN-1E-ESW-1,WS-C3850-48P-L,FCW1931D1J6,10.100.10.83,DENALI 16.3.8,0.0.0.0,1,,V05,4/27/20 1:00
CROWN-1E-ESW-1,WS-C3850-48P-L,FOC1933U12Z,10.100.10.83,DENALI 16.3.8,0.0.0.0,2,,V05,4/27/20 1:00
CROWN-1E-ESW-1,WS-C3850-48P-L,FCW1939D0VP,10.100.10.83,DENALI 16.3.8,0.0.0.0,3,,V06,4/27/20 1:00
LAKEFRONT-CALLBOX2-ESW-1,CISCOIE20004TSGB,FDO2213T02K,10.100.14.71,15.2(4)EA5,0.0.0.0,0,,,4/27/20 1:00
LEV-RTR-4,WS-X6704-10GE,SAL1428MME8,199.249.169.155,15.1(2)SY12,0.0.0.0,7,12.2(14R)S5,3.2,4/27/20 1:00
LEV-RTR-4,WS-X6704-10GE,SAL1150A1RM,199.249.169.155,15.1(2)SY12,0.0.0.0,8,12.2(14R)S5,2.6,4/27/20 1:00
LEV-RTR-4,WS-X6704-10GE,SAL1429N7A6,199.249.169.155,15.1(2)SY12,0.0.0.0,9,12.2(14R)S5,3.2,4/27/20 1:00
LEV-RTR-4,WS-C6509-E,SMG1119N2BM,199.249.169.155,,0.0.0.0,0,,,4/27/20 1:00
605GRT-1-ESW-1,WS-C3850-48P-L,FCW1926C12H,10.100.8.158,DENALI 16.3.9,0.0.0.0,0,,V05,4/27/20 1:00
EVDC-RTR-1,N7K-C7018,TBM17020830,199.249.169.179,,0.0.0.0,0,,V01,4/27/20 1:00
EVDC-RTR-1,N7K-M224XP-23L,JAF1652BDRL,199.249.169.179,6.2(20A),0.0.0.0,7,6.2(20A),V02,4/27/20 1:00
EVDC-RTR-1,N7K-M224XP-23L,JAF1703AMHA,199.249.169.179,6.2(20A),0.0.0.0,8,6.2(20A),V02,4/27/20 1:00
EVDC-RTR-1,N7K-SUP2E,JAF1703AAGD,199.249.169.179,6.2(20A),0.0.0.0,9,6.2(20A),V01,4/27/20 1:00
EVDC-RTR-1,N7K-SUP2E,JAF1702BHRF,199.249.169.179,6.2(20A),0.0.0.0,10,6.2(20A),V01,4/27/20 1:00
LAKEFRONT-CALLBOX3-ESW-1,CISCOIE20004TSGB,FDO2007T08B,10.100.14.72,15.2(3)E3,0.0.0.0,0,,,4/27/20 1:00
FSEARLE-2-139-ESW-1,WS-C3850-48P-L,FOC1740U006,10.100.6.93,DENALI 16.3.9,0.0.0.0,4,,V02,4/27/20 1:00
