               name               |           model            |  asset_type  | serial_number 
 PANCOE-4-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1903X0NB
 PANCOE-4-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FCW1903C0P4
 PANCOE-4-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FCW1903C0P8
 PANCOE-4-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FCW1903C0P6
 PANCOE-B-ESW-5                   | WS-C3850-48P-L             | SWITCH       | FOC1739X0ZW
 PANCOE-B-ESW-5                   | WS-C3850-48P-L             | SWITCH       | FOC2038U1DS
 PANCOE-B-ESW-5                   | WS-C3850-48P-L             | SWITCH       | FOC1739X0ZV
 PANCOE-B-ESW-5                   | WS-C3850-24P-L             | SWITCH       | FOC1907U01S
 PICK-B-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FCW2142C1SB
 REGSTN-IDF-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1801X0LN
 REGSTN-IDF-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1910U1KB
 REGSTN-IDF-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1801U0C8
 REGSTN-IDF-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1801Y3BP
 RIC-19-ESW-1                     | WS-C3750X-24P              | SWITCH       | FDO1522K11Q
 ROGERS-B-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1912U17R
 ROGERS-B-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FCW1933C0NY
 RUBFF-244-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1748Y2NM
 RUBFF-244-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1810U031
 RUBFF-244-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1810U0BM
 RUBFF-244-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1831X0R4
 RUBFF-244-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1832X0V6
 RUBFF-244-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1831U0RC
 RUBFF-251-ESW-1                  | WS-C3850-24P-L             | SWITCH       | FOC1823U14Q
 RUBFF-251-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1831U0RH
 RUBFF-251-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW1832C10A
 RUBFF-251-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW1831C0NT
 RUBFF-281-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1831U0RF
 RUBFF-281-ESW-1                  | WS-C3850-24P-L             | SWITCH       | FCW1834C0DE
 RUBFF-313-ESW-4                  | WS-C3850-48P-L             | SWITCH       | FOC1831U0QS
 RUBFF-313-ESW-4                  | WS-C3850-48P-L             | SWITCH       | FOC1832U1DJ
 RUBFF-313-ESW-4                  | WS-C3850-48P-L             | SWITCH       | FCW1830C00B
 RUBFF-345-ESW-1                  | WS-C3750X-48P              | SWITCH       | FDO1537R0B6
 RUBFF-359-ESW-1                  | WS-C3750X-48P              | SWITCH       | FDO1537K0QD
 RUBFF-THORNE-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1814U089
 RUBFF-THORNE-ESW-1               | WS-C3850-12X48U-L          | SWITCH       | FOC2117U1F2
 RYAN-160-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1807U0LS
 RYAN-2-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FCW1938C08P
 RYAN-2-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC2002X017
 RYAN-BASEBALL-ESW-1              | WS-C3850-48P-L             | SWITCH       | FOC2033X1BU
 RYAN-BASEBALL-ESW-1              | WS-C3850-48P-L             | SWITCH       | FCW1901D042
 RYAN-EQUIP-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC2143X0NH
 RYAN-IDF-ESW-2                   | WS-C3750X-24P              | SWITCH       | FDO1525V074
 RYAN-IDF-ESW-3                   | WS-C3750X-12S              | SWITCH       | FDO1637P2MN
 RYAN-IDF-ESW-3                   | WS-C3750X-12S              | SWITCH       | FDO1637Z0UJ
 RYAN-PRESSBOX-ESW-1              | WS-C3850-48P-L             | SWITCH       | FOC2038X1HZ
 RYAN-PRESSBOX-ESW-1              | WS-C3850-48P-L             | SWITCH       | FOC1926X0PT
 RYAN-TICKETOFF-ESW-1             | WS-C3850-48P-L             | SWITCH       | FCW2001D0KT
 RYAN-TICKETOFF-ESW-1             | WS-C3850-48P-L             | SWITCH       | FOC2001U17S
