Cd 1                  name                 |       manufacturer       |            model             | serial_number  |  campus  |                building                | room_number  |          department          | last_edit_date_time |           device_type            
94  E-2001 DC-1                          | EMERSON/LIEBERT          | DDNT466Y                     | 0620C86877     | EVANSTON | LEVERONE HALL                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT DRY COOLER UNIT

95  E-2001 DC-2                          | EMERSON/LIEBERT          | DDNT466Y                     | 0620C86708     | EVANSTON | LEVERONE HALL                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT DRY COOLER UNIT

96  E-2020 UTIL-SWBD-1                   | EATON/CUTLER HAMMER      | MAGNUM DS SWITCHGEAR         | MCG0003858-001 | EVANSTON | 2020 RIDGE AV                          | 193          | NUIT-CI-SO                   | 11/4/2013 11:01     | MAIN SWITCHGEAR

97  LG87 CRAH-2                          | EMERSON/LIEBERT          | MMD402C2400DA                | 082IN167135    | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | MINI MATE AC

98  LG87 CRAH-1                          | EMERSON/LIEBERT          | MMD8TCDC00H0                 | 082IN167153    | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | MINI MATE AC

99  E-2020 PDR-W43                       | EATON/POWERWARE          | 253045-001                   | EC151RXX23     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

100  E-2020 PDR-E12                       | EATON/POWERWARE          | 253045-001                   | EC504RXX11     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

101  E-2020 PDR-N7                        | EATON/POWERWARE          | 253045-001                   | EC151RXX26     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

102  E-2020 PDR-O7                        | EATON/POWERWARE          | 253045-001                   | EC504RXX07     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

103  E-2020 PDR-Q58                       | EATON/POWERWARE          | 253045-001                   | EC151RXX24     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

104  E-2020 PDR-Q7                        | EATON/POWERWARE          | 253045-001                   | EC504RXX06     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 13:40     | PDR

105  E-2020 PDR-R7                        | EATON/POWERWARE          | 253045-001                   | EC504RXX09     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

106  E-2020 PDR-W34                       | EATON/POWERWARE          | 253045-001                   | EC504RXX08     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

107  E-2020 PDR-W39                       | EATON/POWERWARE          | 253045-001                   | EC504RXX10     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

