               hostname               |   ip_address    |       model       |       sw        |  serial_number   |      last_seen      
 EVDC-VSRX-FW-2265-1-SA-NODE0         | 10.100.118.30   | VSRX              | 15.1X49-D90.7   | NOSUCHOBJECT     | 2020-05-26 01:35:33
 EVDC-VSRX-FW-2265-1-SA-NODE1         | 10.100.118.31   | VSRX              | 15.1X49-D90.7   | F87F60A169BC     | 2020-05-26 01:35:33
 EVDC-VSRX-FW-2265-1-NUCORE           | 129.105.223.8   | VSRX              | 15.1X49-D110.4  | 4EF762B8F54E     | 2020-05-26 01:35:33
 EVDC-VSRX-FW-2265-1-RESEARCH-NODE0   | 10.100.118.36   | VSRX              | 15.1X49-D110.4  | NOSUCHOBJECT     | 2020-05-26 01:35:33
 EVDC-VSRX-FW-1146-1-ISSC             | 165.124.26.52   | VSRX              | 15.1X49-D30.3   | 57B5E6FB0645     | 2020-05-26 01:35:30
 CHDC-VSRX-FW-2267-1-CI               | 165.124.8.5     | VSRX              | 15.1X49-D140.2  | 5F8C13A250EB     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-1146-2-FSM-NODE0        | 10.100.118.34   | VSRX              | 15.1X49-D110.4  | NOSUCHOBJECT     | 2020-05-26 01:35:33
 EVDC-VSRX-FW-2265-2-PIPS-NODE0       | 10.100.118.26   | VSRX              | 15.1X49-D150.2  | NOSUCHOBJECT     | 2020-05-26 01:35:30
 EVDC-VSRX-FW-2265-2-PIPS-NODE1       | 10.100.118.27   | VSRX              | 15.1X49-D150.2  | 37ECE9A59AC5     | 2020-05-26 01:35:33
 EVDC-VSRX-FW-1146-1-SESP-NODE1       | 10.100.118.17   | VSRX              | 15.1X49-D140.2  | 5546B9847714     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-1146-1-FSM-NODE0        | 10.100.118.10   | VSRX              | 15.1X49-D90.7   | NOSUCHOBJECT     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-1146-1-FSM-NODE1        | 10.100.118.11   | VSRX              | 15.1X49-D90.7   | 058A7C11CF79     | 2020-05-26 01:35:32
 EVDC-VSRX-FW-1146-1-SESP-NODE0       | 10.100.118.16   | VSRX              | 15.1X49-D140.2  | NOSUCHOBJECT     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-1146-1-KGSM             | 165.124.26.47   | VSRX              | 15.1X49-D150.2  | 20A71C266454     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-2265-1-CIERA-NODE0      | 10.100.118.48   | VSRX              | 19.3R2-S1.5     | 5D6751FAB5E4     | 2020-05-26 01:35:33
 EVDC-VSRX-FW-2265-1-CIERA-NODE1      | 10.100.118.49   | VSRX              | 19.3R2-S1.5     | NOSUCHOBJECT     | 2020-05-26 01:35:33
 CHDC-VSRX-FW-2267-1-MEAS-NODE0       | 10.100.117.15   | VSRX              | 19.3R2-S1.5     | ABBF35960D9F     | 2020-05-26 01:35:34
 CHDC-VSRX-FW-2267-1-MEAS-NODE1       | 10.100.117.16   | VSRX              | 19.3R2-S1.5     | NOSUCHOBJECT     | 2020-05-26 01:35:34
 EVDC-VSRX-FW-1146-2-NUL-NODE0        | 10.100.118.38   | VSRX              | 19.3R2-S1.5     | 369E14591BAA     | 2020-05-26 01:35:34
 EVDC-VSRX-FW-1146-2-NUL-NODE1        | 10.100.118.39   | VSRX              | 19.3R2-S1.5     | NOSUCHOBJECT     | 2020-05-26 01:35:34
 EVDC-VSRX-FW-1146-2-ISO-NODE0        | 10.100.118.44   | VSRX              | 19.3R2-S1.5     | 182208626D73     | 2020-05-26 01:35:34
 EVDC-VSRX-FW-1146-2-ISO-NODE1        | 10.100.118.45   | VSRX              | 19.3R2-S1.5     | NOSUCHOBJECT     | 2020-05-26 01:35:34
 EVDC-VSRX-FW-2265-1-LAW-NODE0        | 10.100.118.46   | VSRX              | 19.3R2-S1.5     | C790FE576F5F     | 2020-05-26 01:35:34
 EVDC-VSRX-FW-2265-1-LAW-NODE1        | 10.100.118.47   | VSRX              | 19.3R2-S1.5     | NOSUCHOBJECT     | 2020-05-26 01:35:34
(130 rows)

