"Object_Type","Name","FQDN","Guest","CPU_Socket_Count","Cores_Per_Socket","Total_Cores_Assigned","Memory_GB","Provisioned_Space_GB","Used_Space_GB","NIC_Count","Network_Name","Datastore_Path","DataCenter","Cluster_Name","vDC_Name"
"VM","RISWEBPROD2","RISWEBPROD2.orad.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","2","2","4","94","56","1","dvPortGroup_VMNET_Research",,"NUCLOUD","EVVCENTERCLOUD1","Research_vDC"
"VM","ARDK2000","deploy.oard.northwestern.edu","FreeBSD Pre-11 versions (64-bit)","2","1","2","8","1235","686","1","dvPortGroup_VMNET_OARD",,"NUCLOUD","EVVCENTERCLOUD1","OARD_vDC"
"VM","RISSABDAT","RISSABDAT.ci.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","2","2","4","128","46","1","dvPortGroup_VMNET_Research",,"NUCLOUD","EVVCENTERCLOUD1","Research_vDC"
"VM","OnBase Win10","ONBASEWIN10.oard.northwestern.edu","Microsoft Windows 10 (64-bit)","1","2","2","4","145","83","1","dvPortGroup_VMNET_OARD",,"NUCLOUD","EVVCENTERCLOUD1","OARD_vDC"
"VM","otis","otis","Ubuntu Linux (64-bit)","4","1","4","32","532","171","1","dvPortGroup_VMNET_McCormick",,"NUCLOUD","EVVCENTERCLOUD1","McCormick"
"VM","EVPubRmtDB01-S.library.northwestern.edu","EVPubRmtDB01-S.library.northwestern.edu",,"2","1","2","4","0","0","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD",,"NUL-vDC"
"VM","LICENSE02.library.northwestern.edu","LICENSE2.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","4","64","38","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","SOCCLINICSRDSH5","SOCCLINICSRDSH5.soc.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","1","4","4","16","76","59","1","dvPortGroup_VMNET_SoC3",,"NUCLOUD","EVVCENTERCLOUD1","SoC_vDC"
"VM","SOCMILLENIUM","SOCMILLENIUM.soc.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","2","2","4","64","37","1","dvPortGroup_VMNET_SoC1",,"NUCLOUD","EVVCENTERCLOUD1","SoC_vDC"
"VM","Pitfall (ee6aed91-2dca-45a9-a2a4-87b31def8b67)","PITFALL3.sespad.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","4","84","69","2","dvPortGroup_VMNET_SESP2",,"NUCLOUD","EVVCENTERCLOUD1","SESP-vDC"
