name,fqdn,guest
EVDC02-S.ADLIBRARY.NORTHWESTERN.EDU,EVDC02-S.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SESPDC4 (3B01EDD9-DD9E-4333-A7D6-062209D79659),SESPDC4.SESPAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ARDDB2,ARDDB2.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EVDC02.LIBRARY.NORTHWESTERN.EDU,EVDC02.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EVDC-VSRX-FW-1146-1-ISSC,LOCALHOST,
KALI,KALI,OTHER 4.X OR LATER LINUX (64-BIT)
SAF-KPPALL1BT,SAF-KPPALL1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-RSTALL1A (C5149E5F-9531-42A7-8ABA-6294AF115620),SAF-RSTALL1A.DOSA.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
LIBFEDORA3S.LIBRARY.NORTHWESTERN.EDU (8DE07138-4AE5-415A-A837-007A3F71899E),,
SAF-PNCAPP1B (1DC22531-56A0-4598-A318-FA652EB5D48B),SAF-PNCAPP1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EV-WEBPRINT10.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT10.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
READERVM,READERVM.MEDILL.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
STARGATE (5DAE1142-CD7F-4526-9E5F-33242F2B5DC9),STARGATE.SESPAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 R2 (64-BIT)
SOCEVDC1,SOCEVDC1.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-MFMALL1BT,SAF-MFMALL1BT.DOSA.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
CASMEDILL,CASMEDILL.MEDILL.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
EV-REDIRECT.LIBRARY.NORTHWESTERN.EDU,EV-REDIRECT.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ARDDB1,ARDDB1.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 R2 (64-BIT)
GLOBEVM,GLOBEVM.MEDILL.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
RISCPSVR4-NUC,RISCPSVR4-NUC.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
JETAD,JETAD.CI.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-BLC,LAW-BLC.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
TIMBER.LIBRARY.NORTHWESTERN.EDU,TIMBER.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCCLINICSHF,SOCCLINICSHF.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-AANALL1B,SAF-AANALL1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
BREAKOUT (E559DF9D-F2F8-4256-97EE-0679808D4DF0),BREAKOUT2.SESPAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-GENPS1A,SAF-GENPS1A.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
ISO-SCAN,ISO-SCAN,UBUNTU LINUX (64-BIT)
NESSUS,ISSC-SCAN,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-MWALL1A (14FF7578-0847-46F0-8A5F-B8D644468303),SAF-MWALL1A,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SAF-ODSDB1A,SAF-ODSDB1A.DOSA.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
RISDVTEST,RISDVTEST.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
MECHWEB18RP.TECH.NORTHWESTERN.EDU,MECHWEB18RP,UBUNTU LINUX (64-BIT)
LAW-PRINT,LAW-PRINT.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SOCSTEALTHSQL,SOCSTEALTHSQL.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
MSEFS.MCC-2012,MSEFS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
FLEMING.LIBRARY.NORTHWESTERN.EDU,FLEMING.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
FAFNIR.TECH.NORTHWESTERN.EDU,FAFNIR,UBUNTU LINUX (64-BIT)
WEBCHECKOUT,WEBCHECKOUT,RED HAT ENTERPRISE LINUX 7 (64-BIT)
MYSQL-DB01-PRD (55CCC6DE-0EFE-47D4-9820-2E84C25F840B),MYSQL-DB01-PRD.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
CASEY.TECH.NORTHWESTERN.EDU,CASEY,UBUNTU LINUX (64-BIT)
MADS_RM_WZRD,ROOMWZRDMADS.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EV-PRINTBILLING.LIBRARY.NORTHWESTERN.EDU,EV-PRINTBILLING.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-RMS4DB1BT,SAF-RMS4DB1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ARDK1000V7A,ARDSOFTWARE,FREEBSD 12 OR LATER VERSIONS (64-BIT)
PUPPET7,PUPPET-ENT.WCAS.NORTHWESTERN.EDU,
RISWEBPROD3,RISWEBPROD3.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
BIOINFORMATICS WIN 7 X64_REPLICA,X64BIOINF.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS 7 (64-BIT)
ARD WIN10 TEMPLATE,,
FACULTY8-PROD,FACULTY8-PROD.WCAS.NORTHWESTERN.EDU,
PE.LIBRARY.NORTHWESTERN.EDU,,
CASPER-DEV,CASPER-DEV.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
OSCAAR3,OSCAAR3.LING.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
RISISIS-TRAIN,RISISIS-TRAIN.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
