                           dct_serial                           |  fin_ops_serial   | idrac_service_tag | ibm_serial |   dct_make    | dct_type |             dct_name              | fin_ops_po | idrac_end_date | ibm_end_date 
 4CPKV12                                                        | 4CPKV12           | 4CPKV12           |            | DELL          | SERVER   | EVCSPMBX06                        | PUR0737189 | 6/22/2020      | 
 4CPKV12                                                        | 4CPKV12           | 4CPKV12           |            | DELL          | SERVER   | EVCSPMBX06                        | PUR0737189 | 6/22/2020      | 
 4FWC5X1                                                        |                   |                   |            | DELL          | SERVER   | EVCSPSFAST1                       |            |                | 
 3FWC5X1                                                        |                   |                   |            | DELL          | SERVER   | EVCSPSFAST2                       |            |                | 
 F1BFJS1                                                        | F1BFJS1           | F1BFJS1           |            | DELL          | SERVER   | EVCSPSSQL1                        | PUR0412979 | 2/22/2019      | 
 F1BCJS1                                                        | F1BCJS1           | F1BCJS1           |            | DELL          | SERVER   | EVCSPSSQL2                        | PUR0412979 | 2/22/2019      | 
 JHPMMN1                                                        | JHPMMN1           | JHPMMN1           |            | DELL          | SERVER   | EVDSPDPM04                        | PUR0263482 | 12/22/2017     | 
 9SBJDX1                                                        |                   | 9SBJDX1           |            | DELL          | SERVER   | EVESX15                           |            | 5/8/2017       | 
 9S9JDX1                                                        |                   | 9S9JDX1           |            | DELL          | SERVER   | EVESX16                           |            | 5/8/2017       | 
 9S8JDX1                                                        |                   | 9S8JDX1           |            | DELL          | SERVER   | EVESX17                           |            | 5/8/2017       | 
 9S8HDX1                                                        |                   | 9S8HDX1           |            | DELL          | SERVER   | EVESX18                           |            | 5/8/2017       | 
 2KWMV12                                                        | 2KWMV12           | 2KWMV12           |            | DELL          | SERVER   | EVESX43                           | PUR0737342 | 6/21/2019      | 
 2KWMV12                                                        | 2KWMV12           | 2KWMV12           |            | DELL          | SERVER   | EVESX43                           | PUR0737342 | 6/21/2019      | 
 2KXJV12                                                        | 2KXJV12           | 2KXJV12           |            | DELL          | SERVER   | EVESX44                           | PUR0737342 | 6/21/2019      | 
 2KXJV12                                                        | 2KXJV12           | 2KXJV12           |            | DELL          | SERVER   | EVESX44                           | PUR0737342 | 6/21/2019      | 
 7YZVC42                                                        | 7YZVC42           | 7YZVC42           |            | DELL          | SERVER   | EVESX70                           | PUR0846848 | 4/24/2020      | 
 95FZC42                                                        | 95FZC42           | 95FZC42           |            | DELL          | SERVER   | EVESX71                           | PUR0846848 | 4/24/2020      | 
 7Z02D42                                                        | 7Z02D42           | 7Z02D42           |            | DELL          | SERVER   | EVESX72                           | PUR0846848 | 4/24/2020      | 
 7YZYC42                                                        | 7YZYC42           | 7YZYC42           |            | DELL          | SERVER   | EVESX73                           | PUR0846848 | 4/24/2020      | 
 CQ60V52                                                        | CQ60V52           | CQ60V52           |            | DELL          | SERVER   | EVESX74                           | PUR0883513 | 8/14/2020      | 
 CQ61V52                                                        | CQ61V52           | CQ61V52           |            | DELL          | SERVER   | EVESX75                           | PUR0883513 | 8/14/2020      | 
 CQ5VT52                                                        | CQ5VT52           | CQ5VT52           |            | DELL          | SERVER   | EVESX76                           | PUR0883513 | 8/14/2020      | 
 CQ5YT52                                                        | CQ5YT52           | CQ5YT52           |            | DELL          | SERVER   | EVESX77                           | PUR0883513 | 8/14/2020      | 
 HHXJHB2                                                        |                   | HHXJHB2           |            | DELL          | SERVER   | EVESX82                           |            | 6/5/2021       | 
 HHXWHB2                                                        |                   | HHXWHB2           |            | DELL          | SERVER   | EVESX83                           |            | 6/5/2021       | 
 HHXGHB2                                                        |                   | HHXGHB2           |            | DELL          | SERVER   | EVESX84                           |            | 6/5/2021       | 
 HHXKHB2                                                        |                   | HHXKHB2           |            | DELL          | SERVER   | EVESX85                           |            | 6/5/2021       | 
 HHXXHB2                                                        |                   | HHXXHB2           |            | DELL          | SERVER   | EVESX86                           |            | 6/5/2021       | 
 HHXLHB2                                                        |                   | HHXLHB2           |            | DELL          | SERVER   | EVESX87                           |            | 6/5/2021       | 
 HLQCJH2                                                        | HLQCJH2           | HLQCJH2           |            | DELL          | SERVER   | EVESXC01N01                       | PUR1148114 | 5/25/2021      | 
 HLQXHH2                                                        | HLQXHH2           | HLQXHH2           |            | DELL          | SERVER   | EVESXC01N02                       | PUR1148114 | 5/25/2021      | 
 HLR0JH2                                                        | HLR0JH2           | HLR0JH2           |            | DELL          | SERVER   | EVESXC01N03                       | PUR1148114 | 5/25/2021      | 
 HLQBJH2                                                        | HLQBJH2           | HLQBJH2           |            | DELL          | SERVER   | EVESXC01N04                       | PUR1148114 | 5/26/2022      | 
 HLQYHH2                                                        | HLQYHH2           | HLQYHH2           |            | DELL          | SERVER   | EVESXC01N05                       | PUR1148114 | 5/25/2021      | 
 HLQWHH2                                                        | HLQWHH2           | HLQWHH2           |            | DELL          | SERVER   | EVESXC01N06                       | PUR1148114 | 5/25/2021      | 
 HLQZHH2                                                        |                   | HLQZHH2           |            | DELL          | SERVER   | EVESXC01N07                       |            | 5/25/2021      | 
