            asset_name             |     asset_type     |       make       |                 model                 |                         serial_number                          |   ip_address    |                              business_service                              |    asset_fucntion    | support_model  |  owner_department   |             owner_contact              |      technical_contact      | date_of_last_record_verification | installation_ticket | decommission_ticket | location | cabinet 
 CHCSPMBX                          | STORAGE            | DELL             | POWEREDGE R710                        | JHPWNN1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2020-04-22 00:07:50-04           |                     |                     | CHDC     | 0215.25
 CHCSPMBX03                        | SERVER             | DELL             | POWEREDGE R720                        | 3YNWGX1                                                        | 165.124.43.216  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:53-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX03-DAS03AA                | STORAGE            | DELL             | POWEREDGE R710                        | 3CDIGX1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2020-04-22 00:02:57-04           |                     |                     | CHDC     | 0215.29
 CHCSPMBX03-DAS03B                 | STORAGE            | DELL             | POWERVAULT MD1200                     | 3CDWGX1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:53-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX03-DAS03C                 | STORAGE            | DELL             | POWERVAULT MD1200                     | 3CHWGX1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:54-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX04                        | SERVER             | DELL             | POWEREDGE R720                        | 3YPSGX1                                                        | 165.124.43.217  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:54-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX04-DAS04A                 | STORAGE            | DELL             | POWERVAULT MD1200                     | 3CGTGX1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:54-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX04-DAS04B                 | STORAGE            | DELL             | POWERVAULT MD1200                     | 3CDVGX1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:55-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX04-DAS04C                 | STORAGE            | DELL             | POWERVAULT MD1200                     | 3CFVGX1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:55-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX05                        | SERVER             | DELL             | POWEREDGE R720                        | 4CPMV12                                                        | 165.124.43.218  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:56-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX05-DAS05A                 | STORAGE            | DELL             | POWERVAULT MD1200                     | 4BFLV12                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:56-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX05-DAS05B                 | STORAGE            | DELL             | POWERVAULT MD1200                     | 4BFKV12                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:57-05           |                     |                     | CHDC     | 0215.29
 CHCSPMBX05-DAS05C                 | STORAGE            | DELL             | POWERVAULT MD1200                     | 4BGKV12                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:57-05           |                     |                     | CHDC     | 0215.29
 CHCSPSFAST1                       | SERVER             | DELL             | POWEREDGE R720XD                      | 6FWC5X1                                                        | 165.124.43.201  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          | SCOTT PITTS                 | 2019-01-23 11:04:32-05           |                     |                     | CHDC     | 0215.26
