             name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
 EVCSPMBX04                    | SERVER            | DELL             | POWEREDGE R720          | DRW48Y1                                      | R34     | ADMIN
 EVCSPMBX05                    | SERVER            | DELL             | POWEREDGE R720          | 4CPJV12                                      | P34     | ADMIN
 EVCSPMBX06                    | SERVER            | DELL             | POWEREDGE R720          | 4CPKV12                                      | P34     | ADMIN
 EVCSPSFAST1                   | SERVER            | DELL             | POWEREDGE R720XD        | 4FWC5X1                                      | O34     | ADMIN
 EVCSPSFAST2                   | SERVER            | DELL             | POWEREDGE R720XD        | 3FWC5X1                                      | O34     | ADMIN
 EVCSPSSQL1                    | SERVER            | DELL             | POWEREDGE R710          | F1BFJS1                                      | U34     | ADMIN
 EVCSPSSQL2                    | SERVER            | DELL             | POWEREDGE R710          | F1BCJS1                                      | R34     | ADMIN
 EVDSPDPM04                    | SERVER            | DELL             | POWEREDGE R710          | JHPMMN1                                      | T34     | ADMIN
 EVESX15                       | SERVER            | DELL             | POWEREDGE R620          | 9SBJDX1                                      | R39     | ADMIN
 EVESX16                       | SERVER            | DELL             | POWEREDGE R620          | 9S9JDX1                                      | R39     | ADMIN
 EVESX17                       | SERVER            | DELL             | POWEREDGE R620          | 9S8JDX1                                      | S39     | ADMIN
 EVESX18_CI                    | SERVER            | DELL             | POWEREDGE R620          | 9S8HDX1                                      | S39     | ADMIN
 EVESX41                       | SERVER            | DELL             | POWEREDGE R620          | 2KXKV12                                      | O34     | ADMIN
 EVESX43                       | SERVER            | DELL             | POWEREDGE R620          | 2KWMV12                                      | O34     | ADMIN
 EVESX44                       | SERVER            | DELL             | POWEREDGE R620          | 2KXJV12                                      | R39     | ADMIN
 EVESX57                       | SERVER            | DELL             | POWEREDGE R620          | CZ7NW12                                      | O34     | ADMIN
 EVESX58                       | SERVER            | DELL             | POWEREDGE R620          | CZ8PW12                                      | O34     | ADMIN
 EVESX59                       | SERVER            | DELL             | POWEREDGE R620          | CZ8NW12                                      | R39     | ADMIN
 EVESX60                       | SERVER            | DELL             | POWEREDGE R620          | CZ7LW12                                      | P39     | ADMIN
 EVESX61                       | SERVER            | DELL             | POWEREDGE R620          | CZ7MW12                                      | P39     | ADMIN
 EVESX70                       | SERVER            | DELL             | POWEREDGE R630          | 7YZVC42                                      | V34     | ADMIN
 EVESX71                       | SERVER            | DELL             | POWEREDGE R630          | 95FZC42                                      | Q39     | ADMIN
 EVESX72                       | SERVER            | DELL             | POWEREDGE R630          | 7Z02D42                                      | Q39     | ADMIN
 EVESX73                       | SERVER            | DELL             | POWEREDGE R630          | 7YZYC42                                      | O34     | ADMIN
 EVESX74                       | SERVER            | DELL             | POWEREDGE R630          | CQ60V52                                      | Q34     | ADMIN
 EVESX75                       | SERVER            | DELL             | POWEREDGE R630          | CQ61V52                                      | Q34     | ADMIN
 EVESX76                       | SERVER            | DELL             | POWEREDGE R630          | CQ5VT52                                      | Q34     | ADMIN
 EVESX77                       | SERVER            | DELL             | POWEREDGE R630          | CQ5YT52                                      | S39     | ADMIN
 EVESX78                       | SERVER            | DELL             | POWEREDGE R630          | CQ6VT52                                      | S39     | ADMIN
 EVESX79                       | SERVER            | DELL             | POWEREDGE R630          | CQ5ZT52                                      | S39     | ADMIN
 EVESX80                       | SERVER            | DELL             | POWEREDGE R630          | CQ5XT52                                      | R39     | ADMIN
 EVESX81                       | SERVER            | DELL             | POWEREDGE R630          | CQ5WT52                                      | R39     | ADMIN
 EVESX82                       | SERVER            | DELL             | POWEREDGE R630          | HHXJHB2                                      | T34     | ADMIN
 EVESX83                       | SERVER            | DELL             | POWEREDGE R630          | HHXWHB2                                      | T34     | ADMIN
 EVESX84                       | SERVER            | DELL             | POWEREDGE R630          | HHXGHB2                                      | T34     | ADMIN
 EVESX85                       | SERVER            | DELL             | POWEREDGE R630          | HHXKHB2                                      | T34     | ADMIN
 EVESX86                       | SERVER            | DELL             | POWEREDGE R630          | HHXXHB2                                      | T34     | ADMIN
 EVESX87                       | SERVER            | DELL             | POWEREDGE R630          | HHXLHB2                                      | T34     | ADMIN
 EVESXC01N01                   | SERVER            | DELL             | POWEREDGE R620          | HLQCJH2                                      | Q39     | ADMIN
 EVESXC01N02                   | SERVER            | DELL             | POWEREDGE R620          | HLQXHH2                                      | Q39     | ADMIN
 EVESXC01N03                   | SERVER            | DELL             | POWEREDGE R620          | HLR0JH2                                      | Q39     | ADMIN
 EVESXC01N04                   | SERVER            | DELL             | POWEREDGE R620          | HLQBJH2                                      | Q39     | ADMIN
 EVESXC01N05                   | SERVER            | DELL             | POWEREDGE R620          | HLQYHH2                                      | T39     | ADMIN
 EVESXC01N06                   | SERVER            | DELL             | POWEREDGE R620          | HLQWHH2                                      | T39     | ADMIN
 EVESXC01N07                   | SERVER            | DELL             | POWEREDGE R620          | HLQZHH2                                      | T39     | ADMIN
 EVESXC01N08                   | SERVER            | DELL             | POWEREDGE R620          | HLQDJH2                                      | T39     | ADMIN
 EVESXC02N01-U39               | SERVER            | DELL             | POWEREDGE R640          | 5Y0XQP2                                      | U39     | ADMIN
 EVESXC02N02-U39               | SERVER            | DELL             | POWEREDGE R640          | 5Y0WQP2                                      | U39     | ADMIN
 EVESXC0307N-P39               | SERVER            | DELL             | POWEREDGE R640          | 3CP9H13                                      | P39     | ADMIN
 EVESXC03N01-V34               | SERVER            | DELL             | POWEREDGE R640          | 38W4H13                                      | V34     | ADMIN
 EVESXC03N02-V34               | SERVER            | DELL             | POWEREDGE R640          | 38V9H13                                      | V34     | ADMIN
 EVESXC03N03-V34               | SERVER            | DELL             | POWEREDGE R640          | 38W3H13                                      | V34     | ADMIN
 EVESXC03N04-P39               | SERVER            | DELL             | POWEREDGE R640          | 3CQ4H13                                      | P39     | ADMIN
 EVESXC03N05-P39               | SERVER            | DELL             | POWEREDGE R640          | 2CFYG13                                      | P39     | ADMIN
 EVESXC03N06-P39               | SERVER            | DELL             | POWEREDGE R640          | 3CQ6H13                                      | P39     | ADMIN
 EVESXC04N01-V34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ8H13                                      | V34     | ADMIN
 EVESXC04N02-V34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ9H13                                      | V34     | ADMIN
 EVESXC04N03-V34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ7H13                                      | V34     | ADMIN
 EVESXC04N04-V34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ3H13                                      | V34     | ADMIN
 EVESXC04N05-Q34               | SERVER            | DELL             | POWEREDGE R640          | 3CR3H13                                      | Q34     | ADMIN
 EVESXC04N06-Q34               | SERVER            | DELL             | POWEREDGE R640          | 3CP8H13                                      | Q34     | ADMIN
 EVESXC04N07-Q34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ5H13                                      | Q34     | ADMIN
 EVESXCLOUD31                  | SERVER            | DELL             | POWEREDGE R630          | H17HR52                                      | Q34     | ADMIN
 EVESXCLOUD32                  | SERVER            | DELL             | POWEREDGE R630          | H17JR52                                      | Q34     | ADMIN
 EVESXCLOUD33                  | SERVER            | DELL             | POWEREDGE R630          | H17KR52                                      | Q34     | ADMIN
 EVESXCLOUD34                  | SERVER            | DELL             | POWEREDGE R630          | HHPHHB2                                      | Q34     | ADMIN
 EVESXCLOUD35                  | SERVER            | DELL             | POWEREDGE R630          | HHPJHB2                                      | Q34     | ADMIN
 EVESXCLOUD36                  | SERVER            | DELL             | POWEREDGE R630          | HRK6GK2                                      | U39     | ADMIN
 EVESXCLOUD37                  | SERVER            | DELL             | POWEREDGE R630          | HRK7GK2                                      | U39     | ADMIN
 EVESXCLOUD38                  | SERVER            | DELL             | POWEREDGE R630          | 84VVFK2                                      | U39     | ADMIN
 EVESXCLOUD39                  | SERVER            | DELL             | POWEREDGE R630          | 84VTFK2                                      | U39     | ADMIN
 EVESXCLOUD40                  | SERVER            | DELL             | POWEREDGE R630          | 84VSFK2                                      | U39     | ADMIN
 EVESXCLOUD41                  | SERVER            | DELL             | POWEREDGE R630          | 84VWFK2                                      | U39     | ADMIN
 EVESXCLOUD42                  | SERVER            | DELL             | POWEREDGE R630          | 84VXFK2                                      | U39     | ADMIN
 EVESXCLOUD43                  | SERVER            | DELL             | POWEREDGE R630          | HHXHHB2                                      | T34     | ADMIN
 EVESXCLOUD44                  | SERVER            | DELL             | POWEREDGE R630          | HHXVHB2                                      | T34     | ADMIN
 EVESXCLOUD45                  | SERVER            | DELL             | POWEREDGE R630          | 7Z01D42                                      | Q34     | ADMIN
