name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
HERC NODE-005,SERVER,PSSC LABS,1 RU SERVER PSSC,356283,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 19:48:08-04,,,EV TECH LG87,09
HERC NODE-006,SERVER,PSSC LABS,1 RU SERVER PSSC,356284,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:16:29-04,,,EV TECH LG87,09
HERC NODE-007,SERVER,PSSC LABS,1 RU SERVER PSSC,356285,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 19:49:19-04,,,EV TECH LG87,09
HERC NODE-008,SERVER,PSSC LABS,1 RU SERVER PSSC,356292,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:16:50-04,,,EV TECH LG87,09
HERC NODE-009,SERVER,PSSC LABS,1 RU SERVER PSSC,356290,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:17:12-04,,,EV TECH LG87,09
HERC NODE-010,SERVER,PSSC LABS,1 RU SERVER PSSC,356287,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 19:50:36-04,,,EV TECH LG87,09
HERC NODE-011,SERVER,PSSC LABS,1 RU SERVER PSSC,356282,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 19:47:24-04,,,EV TECH LG87,09
HERC NODE-012,SERVER,PSSC LABS,1 RU SERVER PSSC,356281,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 19:46:25-04,,,EV TECH LG87,09
HERC NODE-013,SERVER,PSSC LABS,1 RU SERVER PSSC,356288,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:17:48-04,,,EV TECH LG87,09
HERC NODE-014,SERVER,PSSC LABS,1 RU SERVER PSSC,356286,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 19:49:49-04,,,EV TECH LG87,09
HERC NODE-015,SERVER,PSSC LABS,1 RU SERVER PSSC,356295,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:18:21-04,,,EV TECH LG87,09
HERC NODE-016,SERVER,PSSC LABS,1 RU SERVER PSSC,356977,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 21:29:42-04,,,EV TECH LG87,09
HERC NODE-017,SERVER,PSSC LABS,1 RU SERVER PSSC,356975,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:18:43-04,,,EV TECH LG87,09
HERC NODE-018,SERVER,PSSC LABS,1 RU SERVER PSSC,356973,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 21:27:42-04,,,EV TECH LG87,09
HERC NODE-019,SERVER,PSSC LABS,1 RU SERVER PSSC,356976,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-13 21:29:16-04,,,EV TECH LG87,09
HERC NODE-020,SERVER,PSSC LABS,1 RU SERVER PSSC,356974,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:19:34-04,,,EV TECH LG87,09
HERC NODE-021,SERVER,PSSC LABS,1 RU SERVER PSSC,356979,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:24:13-04,,,EV TECH LG87,09
HERC NODE-022,SERVER,PSSC LABS,1 RU SERVER PSSC,356978,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:24:33-04,,,EV TECH LG87,09
HERCULE HEAD NODE,SERVER,PSSC LABS,3 RU SERVER PSSC,L018501C7258073,,,RESEARCH,COLOCATION,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN MARCIN KOPACZ,2017-03-23 11:58:17-04,,,EV TECH LG87,09
HERMES HEAD  NODE,SERVER,SUPERMICRO,2 RU SM,,,,RESEARCH,,SO,MCC ENGINEERING AND APPLIED SCIENCE - MONTANARI,,2019-05-02 14:45:56-04,,,EVDC,P62
HERMES NODES1-4,SERVER,SUPERMICRO,2 RU SM,,,,RESEARCH,,SO,MCC ENGINEERING AND APPLIED SCIENCE - MONTANARI,,2019-05-02 14:48:21-04,,,EVDC,P62
HERMES NODES 5-8,SERVER,SUPERMICRO,2 RU SM,,,,RESEARCH,,SO,MCC ENGINEERING AND APPLIED SCIENCE - MONTANARI,,2019-05-02 14:47:14-04,,,EVDC,P62
HERMES SAN SWITCH,SERVER,SUPERMICRO,1 RU SM,,,,RESEARCH,,SO,MCC ENGINEERING AND APPLIED SCIENCE - MONTANARI,,2019-05-02 14:49:18-04,,,EVDC,P62
HERMES SWITCH,NETWORK SWITCH,NETGEAR,GS748T,,,,RESEARCH,,SO,MCC ENGINEERING AND APPLIED SCIENCE - MONTANARI,,2019-05-02 14:50:20-04,,,EVDC,P62
HERTZ,SERVER,DELL,POWEREDGE R710,CSXBBM1,,,PRODUCTION,HOSTED,SO,NUIT-CI-SO-SERVICEOPERATION,,2017-08-18 14:09:36-04,268954,,EVDC,P52
HEX07-HEX08,SERVER,SUPERMICRO,SUPERSERVER 6016T,S11372914518914,,,RESEARCH,COLOCATION,SO,WCAS CHEM WEISS LAB,MUWEN YANG  MOHAMAD KODAIMATI  EMILY WEISS  NATHANIEL SWENSON,2020-06-10 17:38:08-04,40702,,EVDC,P52
HEX-MGMT,SERVER,DELL,POWEREDGE 1950,2NVZBG1,,,RESEARCH,COLOCATION,SO,WCAS CHEM WEISS LAB,MUWEN YANG  MOHAMAD KODAIMATI  EMILY WEISS  NATHANIEL SWENSON,2020-06-10 17:38:24-04,40702,,EVDC,P52
HIHGSPEED FDR MAIN1,NETWORK SWITCH,IBM,MSX6036,23C1730,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:05-04,,,EVDC,N21
HIHGSPEED FDR MAIN10,NETWORK SWITCH,IBM,MSX6036,23C1722,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:09-04,,,EVDC,N21
HIHGSPEED FDR MAIN11,NETWORK SWITCH,IBM,MSX6036,23C1725,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:14-04,,,EVDC,N21
HIHGSPEED FDR MAIN12,NETWORK SWITCH,IBM,MSX6036,23C1724,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:18-04,,,EVDC,N21
HIHGSPEED FDR MAIN13,SERVER,IBM,SYSTEM X3650,J103G92,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-10-26 08:59:22-04,,,EVDC,021
HIHGSPEED FDR MAIN2,NETWORK SWITCH,IBM,MSX6036,23C1731,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:27-04,,,EVDC,N21
