name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
RACK SERVER UNIT1,SERVER,IBM,SYSTEM X3550,E2PV957,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-01 17:49:44-05,,,EVDC,N21
RACK SERVER UNIT10,SERVER,IBM,SYSTEM X3550,E2PV959,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-01 18:04:43-05,,,EVDC,021
RACK SERVER UNIT11,SERVER,IBM,SYSTEM X3550,E2PV960,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-01 18:04:22-05,,,EVDC,021
RACK SERVER UNIT2,SERVER,IBM,SYSTEM X3550,E2PV956,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-01 18:03:43-05,,,EVDC,N21
RACK SERVER UNIT3,SERVER,IBM,SYSTEM X3550,E2PV961,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-02 17:17:49-05,,,EVDC,N21
RACK SERVER UNIT4,SERVER,IBM,SYSTEM X3550,EDB2M08,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-05 12:29:59-05,,,EVDC,N21
RACK SERVER UNIT5,SERVER,IBM,SYSTEM X3550,EDB2M07,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-05 13:12:30-05,,,EVDC,N21
RACK SERVER UNIT6,SERVER,IBM,SYSTEM X3550,EDB2M07,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-05 13:04:06-05,,,EVDC,N21
RACK SERVER UNIT7,SERVER,IBM,SYSTEM X3550,EDB2M10,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-05 12:30:42-05,,,EVDC,N21
RACK SERVER UNIT8,SERVER,IBM,SYSTEM X3550,J102YAX,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-01 18:04:02-05,,,EVDC,021
RACK SERVER UNIT9,SERVER,IBM,SYSTEM X3550,E2PV958,,,HIGH PERFORMANCE COMPUTING,,PIPS,NUIT-CI-PIPS-HPC,,2018-03-01 18:05:02-05,,,EVDC,021
RADIUS TEST,SERVER APPLIANCES,DELL,POWEREDGE R610,JT5KKS1,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2013-12-19 15:55:10-05,,,EV LEV G156,0G.01.02
RAMTEL DIAGTOOL,SERVER,RAMTEL,DIAG TOOL PC ON SIDE,,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-VOICENETWORK,,2014-11-19 14:46:19-05,,,EV LEV G156,0G.02.07
READYNAS 4220X,STORAGE,NETGEAR,READYNAS 4220X,3NA649060004F,,,PRODUCTION,COLOCATION,SO,SCHOOL OF CONTINUING STUDIES,RENATA OPLATEK,2017-01-26 11:54:12-05,103465,,EVDC,U48
REDWODD-DAS01,STORAGE,DELL,POWERVAULT MD1200,5J0QV52,,,PRODUCTION,COLOCATION,SO,LAW SCHOOL,BILL HAYDASZ,2018-05-08 12:44:21-04,,,EVDC,R48
REDWOOD LAW,SERVER,DELL,POWEREDGE R710,G4XQVL1,,,PRODUCTION,COLOCATION,SO,LAW SCHOOL,BILL HAYDASZ,2018-05-08 12:41:12-04,,,EVDC,R48
REGGAE,SERVER,DELL,POWEREDGE R730,7TNP9N2,,,RESEARCH,,SO,MEDICAL SCHOOL,,2018-08-23 17:15:01-04,,,EVDC,Q62
REMOTE SITE MANAGER,CONSOLE,WTI,RSM-16,01650812120481,,,RESEARCH,,SO,NUIT-CI-TNS-DATANETWORK,,2015-05-26 11:11:02-04,,,CH 8602 243,213.01
REMOVE,SERVER,EXXACT,1 RUS,,,,HIGH PERFORMANCE COMPUTING,,SO,NUIT-CI-PIPS-HPC,,2017-08-17 15:37:41-04,,,EVDC,S25
REMOVE^^6081,SERVER,EXXACT,1 RUS,,,,HIGH PERFORMANCE COMPUTING,,SO,NUIT-CI-PIPS-HPC,,2017-08-17 15:38:38-04,,,EVDC,S25
REMOVE^^6082,SERVER,EXXACT,1 RUS,KQ1XCM0,,,HIGH PERFORMANCE COMPUTING,,SO,NUIT-CI-PIPS-HPC,,2017-08-18 14:16:32-04,,,EVDC,S25
REMOVE^^6083,SERVER,EXXACT,1 RUS,,,,HIGH PERFORMANCE COMPUTING,,SO,NUIT-CI-PIPS-HPC,,2017-08-17 15:39:42-04,,,EVDC,S25
RFID01,SERVER,DELL,POWEREDGE R420,D5LNW12,,,PRODUCTION,HOSTED,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2019-06-18 16:28:40-04,,,EVDC,O48
RISAOPSPRD,SERVER,DELL,POWEREDGE R730XD,G4S7HH2,,,PRODUCTION,,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2019-10-01 14:52:36-04,510450,,EVDC,R39
RISAOPSPRDDATE,SERVER,DELL,POWEREDGE R730XD,G4S5HH2,,,PRODUCTION,,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2019-10-01 14:55:36-04,510450,,EVDC,R39
RISAOPSTST,SERVER,DELL,POWEREDGE R730XD,G4S6HH2,,,PRODUCTION,,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2019-10-01 14:51:11-04,510450,,EVDC,R39
RISAOPSTSTDAT,SERVER,DELL,POWEREDGE R730XD,G4RBHH2,,,PRODUCTION,,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2019-10-01 14:54:27-04,510450,,EVDC,R39
RISEACDATPRD,SERVER,DELL,POWEREDGE R840,5NFQDW2,,,PRODUCTION,,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,KEN TURNER,2019-11-21 13:37:39-05,842459,,EVDC,M48
RISEACWEBPRD,SERVER,DELL,POWEREDGE R840,5NFPDW2,,,PRODUCTION,,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,KEN TURNER,2019-11-21 13:35:01-05,842459,,EVDC,M48
RISEIRB7APP,SERVER,DELL,POWEREDGE R720XD,175LN22,,,PRODUCTION,HOSTED,SO,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2018-10-01 15:06:25-04,,,EVDC,V39
RISEIRB7APPTEST,SERVER,DELL,POWEREDGE R720XD,CV4MW12,,,PRODUCTION,HOSTED,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2018-05-18 11:46:58-04,143998,,EVDC,P39
RISEIRB7DAT,SERVER,DELL,POWEREDGE R720XD,175KN22,,,PRODUCTION,HOSTED,SO,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2018-10-01 15:07:08-04,,,EVDC,V39
RISEIRB7DATTEST,SERVER,DELL,POWEREDGE R720XD,CV3PW12,,,PRODUCTION,HOSTED,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2018-05-18 11:47:20-04,143998,,EVDC,P39
RISEIRBDATA2,SERVER,DELL,POWEREDGE R710,7T3NWR1,129.105.208.170,,PRODUCTION,HOSTED,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2018-05-08 12:39:53-04,,,EVDC,Q48
RISEIRBDATA2_1,STORAGE,DELL,POWERVAULT MD1220,3CBNWR1,,,PRODUCTION,HOSTED,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2018-05-08 12:39:17-04,,,EVDC,Q48
RISEIRBWEB2,SERVER,DELL,POWEREDGE R710,6DYXXR1,129.105.119.186,,PRODUCTION,HOSTED,PIPS,OFFICE OF RESEARCH-INFORMATION SYSTEMS,TERA MOSKEL,2018-05-08 12:39:44-04,,,EVDC,Q48
ROCK,SERVER,APPLE,XSERVE G5,G890512EX85,165.124.178.36,,PRODUCTION,COLOCATION,SO,GLOBAL MARKETING AND COMMUNICATIONS,,2018-01-08 13:12:43-05,,,EVDC,V48
ROCK.PSYCHI-BEHAV,SERVER,DELL,POWEREDGE R720,DG132Y1,,,RESEARCH,COLOCATION,SO,MEDICAL SCHOOL,ALEX KOGAN,2018-05-08 12:40:56-04,,,EVDC,R62
ROCK RAID,STORAGE,APPLE,VTRAK E-CLASS,R7SU08D08169,,,PRODUCTION,COLOCATION,SO,GLOBAL MARKETING AND COMMUNICATIONS,,2018-05-02 11:25:32-04,,,EVDC,V48
ROUTER_0215.07_16,NETWORK ROUTER,JUNIPER NETWORKS,MX80-T-AC,COPQABHAAA,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - PURDUE,JAKE SALLEE,2018-05-10 09:35:15-04,,,CH 8602 236,0215.07
RT-NUM-276068-01,NETWORK SWITCH,CISCO SYSTEMS,ACCESS SERVER AS2511-RJ,,,,ACCESS NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 16:28:07-05,,,EVDC,I62
RU 01,NETWORK APPLIANCES,ALCATEL-LUCENT,1665 DMX,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 00:06:38-04,,,CH 8602 241,0202.09
RU 14,NETWORK APPLIANCES,NORTEL NETWORKS,44 CHANNEL MUX-DEMUX C-BAND (CMD44),,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 03:34:13-04,,,CH 8602 241,205.06
RU 16,NETWORK APPLIANCES,NORTEL NETWORKS,BROADBAND MUX-DEMUX 1X2 (NTT862DAE5),,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 03:36:08-04,,,CH 8602 241,205.06
RU17,NETWORK APPLIANCES,NORTEL NETWORKS,OPTICAL MULTISERVICE EDGE 6500-22,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 22:19:31-04,,,CH 8602 241,205.08
RU26,NETWORK APPLIANCES,ADVA,FSP 3000R7 9U,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 00:05:31-04,,,CH 8602 241,0202.09
RU39,NETWORK APPLIANCES,NORTEL NETWORKS,APPLIANCE TPS 2070,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 03:42:30-04,,,CH 8602 241,205.06
RUIRI (BACKUPS),SERVER,DELL,POWEREDGE R610,DL4YJM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 10:14:40-04,,,EV TECH LG87,02
RUSSELL,GPU SERVER,ATIPA,4 RU SERVER AT,1926633,,,RESEARCH,COLOCATION,SO,MCC MATERIALS RESEARCH SCIENCE AND ENGINEERING CENTER,HONGHAO LI,2018-11-15 21:14:18-05,RT 273319,,EVDC,L58
RYAN/WALTER  NSM 1,SECURITY DVR,PELCO,NSM5200,AEK-V509,,,PRODUCTION,,CONTACT,UNIVERSITY POLICE AND PARKING,DAVEN JANIS,2018-03-07 22:17:56-05,,,EVDC,J58
RYE,STORAGE,QNAP,TS-1270U-RP,Q18AI17952,,,PRODUCTION,,SITE_ADMINISTRATORS,NUIT-ART-MEDIASITEARCHITECTURE,MICHAEL CURTIS  NATE BARTLETT  ZORAN ILIC,2019-08-13 15:39:23-04,865459,,EVDC,V48
RYLE.PHYS,SERVER,SUPERMICRO,SUPERSERVER 2RU,,,,RESEARCH,COLOCATION,SO,WCAS PHYSICS AND ASTRONOMY - ZADEH,,2019-12-05 10:21:58-05,87879 ,,EVDC,O58
SAN2-1,SAN,HP,STORAGEWORKS P4300 G2,MX03400KL,,,DEVELOPMENT,COLOCATION,SO,SCHOOL OF CONTINUING STUDIES,RENATA OPLATEK,2017-01-26 12:03:37-05,103465,,EVDC,T48
SAN2-2,SAN,HP,STORAGEWORKS P4300 G2,MXQ03400KS,,,DEVELOPMENT,COLOCATION,SO,SCHOOL OF CONTINUING STUDIES,RENATA OPLATEK,2017-01-26 12:08:24-05,103465,,EVDC,T48
SAN3-1,SAN,HP,STORAGEWORKS P4300 G2,MXQ2320877,,,DEVELOPMENT,COLOCATION,SO,SCHOOL OF CONTINUING STUDIES,RENATA OPLATEK,2017-01-26 11:56:31-05,103465,,EVDC,U48
SAN3-2,SAN,HP,STORAGEWORKS P4300 G2,MXQ232086D,,,DEVELOPMENT,COLOCATION,SO,SCHOOL OF CONTINUING STUDIES,RENATA OPLATEK,2017-01-26 11:58:30-05,103465,,EVDC,U48
SANDBOX UMGW,VOIP,EXXACT,1 RUS,,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-VOICENETWORK,,2017-06-13 09:29:24-04,,,EV LEV G156,0G.02.07
SANTOS (WEB),SERVER,DELL,POWEREDGE R710,DYZXJM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 10:04:12-04,,,EV TECH LG87,02
SAPPHIRE_EXPANSION_1,SERVER,DELL,POWEREDGE R430,H2FKHV2,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,THAD LEE,2019-07-17 20:01:43-04,810192,,EVDC,P58
SAPPHIRE_EXPANSION_1^^6866,SERVER,DELL,POWEREDGE R430,,,,RESEARCH,,,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2019-07-17 15:03:48-04,,,EVDC,
SAPPHIRE_EXPANSION_1^^6867,SERVER,DELL,POWEREDGE R430,,,,RESEARCH,,,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2019-07-17 15:03:48-04,,,EVDC,
SAPPHIRE_EXPANSION_1^^6868,SERVER,DELL,POWEREDGE R430,,,,RESEARCH,,,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2019-07-17 15:03:48-04,,,EVDC,
SAPPHIRE_EXPANSION_1^^6869,SERVER,DELL,POWEREDGE R430,,,,RESEARCH,,,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2019-07-17 15:03:48-04,,,EVDC,
SAPPHIRE_EXPANSION_2,SERVER,DELL,POWEREDGE R430,H2FKDV2,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,ALAN R WOLFF,2019-07-17 20:06:32-04,810192,,EVDC,P58
SAPPHIRE HEAD NODE,SERVER,DELL,POWEREDGE R410,FX9TNS1,,,RESEARCH,COLOCATION,SO,MCC CHEMICAL AND BIOLOGICAL ENGINEERING - BROADBELT,HEATHER MAYES,2018-05-08 12:43:58-04,,,EVDC,E58
SARCHIMOR(WEB),SERVER,DELL,POWEREDGE R710,DZ0WJM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 10:02:55-04,,,EV TECH LG87,02
SCANNEX CDR BUFFER,SERVER,EXXACT,1 RUS,,,,N/A,INFRASTRUCTURE,NT,NUIT-CI-TNS-VOICENETWORK,,2017-06-13 09:29:28-04,,,EV LEV G156,0G.02.07
SCHATZ.14.1,SERVER,SUPERMICRO,2 RU SM,449079,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:26:21-04,152392,,EV TECH LG87,14
SCHATZ.14.11,SERVER,SUPERMICRO,2 RU SM,449081,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:29:09-04,152392,,EV TECH LG87,14
SCHATZ.14.13,SERVER,SUPERMICRO,2 RU SM,449084,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:29:42-04,152392,,EV TECH LG87,14
SCHATZ.14.17,SERVER,SUPERMICRO,2 RU SM,457175,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:30:14-04,152392,,EV TECH LG87,14
SCHATZ.14.19,SERVER,SUPERMICRO,2 RU SM,457176,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:30:51-04,152392,,EV TECH LG87,14
SCHATZ.14.21,SERVER,SUPERMICRO,2 RU SM,457177,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:31:28-04,152392,,EV TECH LG87,14
SCHATZ.14.24,SERVER,SUPERMICRO,2 RU SM,462125,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:53:12-04,152392,,EV TECH LG87,14
SCHATZ.14.26,SERVER,SUPERMICRO,2 RU SM,,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:41:13-04,152392,,EV TECH LG87,14
SCHATZ.14.28,SERVER,SUPERMICRO,2 RU SM,S16067926320056B,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:51:05-04,,,EV TECH LG87,14
SCHATZ.14.3,SERVER,SUPERMICRO,2 RU SM,449078,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:26:51-04,,,EV TECH LG87,14
SCHATZ.14.31,SERVER,SUPERMICRO,2 RU SM,1147340001,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:52:07-04,,,EV TECH LG87,14
SCHATZ.14.35,SERVER,DELL,POWERVAULT MD1000-SB,DY1S4H1,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2018-05-08 12:41:00-04,,,EV TECH LG87,14
SCHATZ.14.38,SERVER,DELL,POWEREDGE 2950,5KG96D1,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2018-05-08 12:39:37-04,,,EV TECH LG87,14
SCHATZ.14.5,SERVER,SUPERMICRO,2 RU SM,449080,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:27:25-04,152392,,EV TECH LG87,14
SCHATZ.14.7,SERVER,SUPERMICRO,2 RU SM,449082,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:27:56-04,152392,,EV TECH LG87,14
SCHATZ.14.9,SERVER,SUPERMICRO,2 RU SM,449083,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:28:31-04,152392,,EV TECH LG87,14
SCHATZ.15.01,SERVER,SUPERMICRO,SUPERSERVER 6028TP-HTR,S15189925304784,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:26:52-04,,,EV TECH LG87,15
SCHATZ.15.02,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574225300581,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:27:59-04,,,EV TECH LG87,15
SCHATZ.15.03,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574225300576,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:28:54-04,,,EV TECH LG87,15
SCHATZ.15.04,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574225300577,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:29:51-04,,,EV TECH LG87,15
SCHATZ.15.05,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574225300579,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:31:22-04,,,EV TECH LG87,15
SCHATZ.15.06,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574225C33594,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:56:30-04,,,EV TECH LG87,15
SCHATZ.15.07,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574225C33590,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2017-03-23 12:56:03-04,,,EV TECH LG87,15
SCHATZ.15.08,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574225C33577,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:19:24-04,,,EV TECH LG87,15
SCHATZ.15.09,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574227201079,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:20:40-04,,,EV TECH LG87,15
SCHATZ.15.10,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574227201074,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:21:56-04,,,EV TECH LG87,15
SCHATZ.15.11,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574227201084,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:22:53-04,,,EV TECH LG87,15
SCHATZ.15.12,SERVER,SUPERMICRO,SUPERSERVER 2026GT,S16574227818899,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:23:45-04,,,EV TECH LG87,15
SCHATZ 15.20,NETWORK SWITCH,NETGEAR,GS724T,,,,RESEARCH,,,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:17:06-04,,,EV TECH LG87,15
SCHATZ.15.29,SERVER,PSSC LABS,1 RU SERVER PSSC,353988,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-13 19:47:59-04,,,EV TECH LG87,15
SCHATZ.15.30,SERVER,PSSC LABS,1 RU SERVER PSSC,KP-Z3056,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-23 11:59:59-04,,,EV TECH LG87,15
SCHATZ.15.31,SERVER,PSSC LABS,1 RU SERVER PSSC,355147,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-13 19:50:05-04,,,EV TECH LG87,15
SCHATZ.15.32,SERVER,PSSC LABS,1 RU SERVER PSSC,355148,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-13 19:50:50-04,,,EV TECH LG87,15
SCHATZ.15.33,SERVER,PSSC LABS,1 RU SERVER PSSC,355149,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2017-03-13 19:51:23-04,,,EV TECH LG87,15
SCHATZ.15.34,SERVER,PSSC LABS,1 RU SERVER PSSC,KP-Z3060,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2017-03-23 12:00:23-04,,,EV TECH LG87,15
SCHATZ.15.35,SERVER,IBM,ESERVER X325,KP-AR547,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2017-03-16 20:11:36-04,,,EV TECH LG87,15
SCHATZ 15.36,SERVER,DELL,POWEREDGE R730XD,JGS3V52,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:05:09-04,,,EV TECH LG87,15
SCHATZ.16.01,SERVER,DELL,POWEREDGE R510,CV0DJS1,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2018-10-30 09:41:20-04,,,EV TECH LG87,16
SCHATZ.16.03,SERVER,DELL,POWEREDGE R610,CV3DJS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:40:40-04,,,EV TECH LG87,16
SCHATZ.16.04,SERVER,DELL,POWEREDGE R610,CV2DJS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:40:38-04,,,EV TECH LG87,16
SCHATZ.16.05,SERVER,DELL,POWEREDGE R610,CVZFJS1,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2018-05-08 12:40:44-04,,,EV TECH LG87,16
SCHATZ.16.06,SERVER,DELL,POWEREDGE R610,CV38JS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:40:38-04,,,EV TECH LG87,16
SCHATZ.16.07,SERVER,DELL,POWEREDGE R610,CV3CJS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:40:39-04,,,EV TECH LG87,16
SCHATZ.16.08,SERVER,DELL,POWEREDGE R610,CV2CJS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:40:37-04,,,EV TECH LG87,16
SCHATZ.16.09,SERVER,DELL,POWEREDGE R610,CV3FJS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:40:40-04,,,EV TECH LG87,16
SCHATZ.16.10,SERVER,DELL,POWEREDGE R610,CV3BJS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:40:39-04,,,EV TECH LG87,16
SCHATZ.16.11,SERVER,DELL,POWEREDGE R610,3GWXMS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:39:18-04,,,EV TECH LG87,16
SCHATZ.16.12,SERVER,DELL,POWEREDGE R610,3GYXMS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:39:19-04,,,EV TECH LG87,16
SCHATZ.16.13,SERVER,DELL,POWEREDGE R610,3GYYMS1,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2018-05-08 12:39:20-04,,,EV TECH LG87,16
SCHATZ.16.14,SERVER,DELL,POWEREDGE R610,3HOYMS1,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2017-03-22 19:43:36-04,,,EV TECH LG87,16
SCHATZ.16.15,SERVER,DELL,POWEREDGE R610,3GYTMS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:39:18-04,,,EV TECH LG87,16
SCHATZ.16.16,SERVER,DELL,POWEREDGE R610,3H0XMS1,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2018-10-30 09:44:33-04,,,EV TECH LG87,16
SCHATZ.16.17,SERVER,DELL,POWEREDGE R610,3GZTMS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:39:20-04,,,EV TECH LG87,16
SCHATZ.16.18,SERVER,DELL,POWEREDGE R610,3GWWMS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:39:17-04,,,EV TECH LG87,16
SCHATZ.16.19,SERVER,DELL,POWEREDGE R610,3GYWMS1,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:39:19-04,,,EV TECH LG87,16
SCHATZ.16.20,SERVER,DELL,POWEREDGE R610,3GZYMS1,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2018-05-08 12:39:21-04,,,EV TECH LG87,16
