                 name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
 KIS DISASTER RECOVERY^^6784          | SAN                | NETAPP            | FAS2650HA                             |                                                                | 
 CHDC-UDS-ESXI-1                      | SERVER             | CISCO SYSTEMS     | USC C240 M4SX                         | FCH2040V0R6                                                    | 0215.40
 CHDC-UDS-ESXI-2                      | SERVER             | CISCO SYSTEMS     | USC C240 M4SX                         | FCH2040V0KN                                                    | 0215.40
 CHDC-UDS-ESXI-3                      | SERVER             | CISCO SYSTEMS     | USC C240 M4SX                         | FCH2040V0TC                                                    | 0215.40
 CHDC-UDS-ESXI-4                      | SERVER             | CISCO SYSTEMS     | UCS C240 M4S2                         | FCH2132V1EF                                                    | 0215.40
 APPREP #1                            | SERVER             | DELL              | POWERVAULT DL4000                     | F5KW842                                                        | 0215.36
 APPREP #2                            | SERVER             | DELL              | POWERVAULT MD1200                     | DXTZ842                                                        | 0215.36
 C3P0-CS.RESEARCH                     | SERVER             | DELL              | PRECISION 7820 TOWER                  | H23CB03                                                        | 0215.37
 C3P1-CS.RESEARCH                     | SERVER             | DELL              | PRECISION 7820 TOWER                  | H23DB03                                                        | 0215.37
 CHADSDC4                             | SERVER             | DELL              | POWEREDGE R630                        | DG13182                                                        | 0215.24
 CHCSPDPM01                           | SERVER             | DELL              | POWEREDGE R710                        | DPTBJQ1                                                        | 0215.25
 CHCSPDPM02                           | SERVER             | DELL              | POWEREDGE R710                        | DPV8JQ1                                                        | 0215.28
 CHCSPDPM04                           | SERVER             | DELL              | POWEREDGE R710                        | JHPYNN1                                                        | 0215.28
 CHCSPMBX01                           | SERVER             | DELL              | POWEREDGE R720                        | DRW38Y1                                                        | 0215.30
 CHCSPMBX02                           | SERVER             | DELL              | POWEREDGE R720                        | 3YPTGX1                                                        | 0215.30
 CHCSPMBX03                           | SERVER             | DELL              | POWEREDGE R720                        | 3YNWGX1                                                        | 0215.29
 CHCSPMBX04                           | SERVER             | DELL              | POWEREDGE R720                        | 3YPSGX1                                                        | 0215.29
 CHCSPMBX05                           | SERVER             | DELL              | POWEREDGE R720                        | 4CPMV12                                                        | 0215.29
 CHCSPMBX06                           | SERVER             | DELL              | POWEREDGE R720                        | 4CPLV12                                                        | 0215.30
 CHCSPSFAST1                          | SERVER             | DELL              | POWEREDGE R720XD                      | 6FWC5X1                                                        | 0215.26
 CHCSPSFAST2                          | SERVER             | DELL              | POWEREDGE R720XD                      | 5FWC5X1                                                        | 0215.27
 CHCSPSSQL1                           | SERVER             | DELL              | POWEREDGE R710                        | F19GJS1                                                        | 0215.28
 CHCSPSSQL2                           | SERVER             | DELL              | POWEREDGE R710                        | F1CCJS1                                                        | 0215.25
 CHESX20                              | SERVER             | DELL              | POWEREDGE R630                        | 7ZS6D42                                                        | 0215.26
 CHESX21                              | SERVER             | DELL              | POWEREDGE R630                        | 7ZS3D42                                                        | 0215.26
 CHESX22                              | SERVER             | DELL              | POWEREDGE R630                        | 7ZRCD42                                                        | 0215.26
 CHESX23                              | SERVER             | DELL              | POWEREDGE R630                        | 7ZS4D42                                                        | 0215.26
 CHESX24                              | SERVER             | DELL              | POWEREDGE R630                        | 7YZWC42                                                        | 0215.25
 CHESX25                              | SERVER             | DELL              | POWEREDGE R630                        | 8P99D42                                                        | 0215.25
 CHESX26                              | SERVER             | DELL              | POWEREDGE R630                        | 9FWXC42                                                        | 0215.25
 CHESX27                              | SERVER             | DELL              | POWEREDGE R630                        | 7Z00D42                                                        | 0215.25
 CHESXCLOUD01                         | SERVER             | DELL              | POWEREDGE R630                        | JP0HHK2                                                        | 0215.27
 CHESXCLOUD02                         | SERVER             | DELL              | POWEREDGE R630                        | JP0HHL2                                                        | 0215.27
 CHESXCLOUD03                         | SERVER             | DELL              | POWEREDGE R630                        | JP0HXK2                                                        | 0215.27
