1              name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
51  2020RDG-IDF-T39-ESW-2         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | T39     | ADMIN

52  2020RDG-IDF-T34-ESW-2-01      | NETWORK SWITCH    | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS   | UV04551                                      | T34     | ADMIN

53  2020RDG-IDF-W34-ESW-1-01      | NETWORK SWITCH    | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS   |                                              | T34     | ADMIN

54  2020RDG-IDF-W34-ESW-2-01      | NETWORK SWITCH    | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS   |                                              | T34     | ADMIN

55  EVDC-Q34-ESW-3                | NETWORK SWITCH    | JUNIPER NETWORKS | EX4500                  | GX0212014677                                 | Q34     | ADMIN

56  EVDC-Q34-ESW-4                | NETWORK SWITCH    | JUNIPER NETWORKS | EX4500                  | GX0211490986                                 | Q34     | ADMIN

57  EVDC-T43-ESW-3                | NETWORK SWITCH    | JUNIPER NETWORKS | EX4500                  |                                              | T43     | ADMIN

58  EVDC-T43-ESW-4                | NETWORK SWITCH    | JUNIPER NETWORKS | EX4500                  |                                              | T43     | ADMIN

59  EV-UCESX01                    | SERVER            | CISCO SYSTEMS    | USC C240 M4SX           | FCH2040V0T9                                  | O39     | ADMIN

60  EV-UCESX02                    | SERVER            | CISCO SYSTEMS    | USC C240 M4SX           | FCH2040V0CZ                                  | O39     | ADMIN

61  EV-UCESX03                    | SERVER            | CISCO SYSTEMS    | USC C240 M4SX           | FCH2039V4FM                                  | O39     | ADMIN

62  EV-UCESX04                    | SERVER            | CISCO SYSTEMS    | UCS C240 M3             | FCH2117V0H9                                  | O39     | ADMIN

63  EV-UCESX05                    | SERVER            | CISCO SYSTEMS    | UCS C240 M3             | FCH1922V0EU                                  | O39     | ADMIN

64  BACKUP1                       | SERVER            | CODE42           | M1                      | 9L5L382                                      | T39     | ADMIN

65  ALPS.LIBRARY.NORTHWESTERN.EDU | SERVER            | DELL             | R730                    | C1HLT52                                      | R39     | ADMIN

66  ANSEL                         | SERVER            | DELL             | POWEREDGE R610          | 4N2GTK1                                      | Q39     | ADMIN

67  AVALON                        | SERVER            | DELL             | POWEREDGE R620          | 1CT7CZ1                                      | R39     | ADMIN

68  BIGBEND                       | SERVER            | DELL             | POWEREDGE R620          | F2HXHX1                                      | S34     | ADMIN

69  BRYCE                         | SERVER            | DELL             | POWEREDGE R620          | F2HWHX1                                      | O34     | ADMIN

70  COIPROD                       | SERVER            | DELL             | POWEREDGE R730XD        | 236P182                                      | T39     | ADMIN

71  COIPRODDATA                   | SERVER            | DELL             | POWEREDGE R730XD        | 235T182                                      | T39     | ADMIN

72  COITEST                       | SERVER            | DELL             | POWEREDGE R730XD        | 235S183                                      | T39     | ADMIN

73  COITESTDATA                   | SERVER            | DELL             | POWEREDGE R730XD        | 235V182                                      | T39     | ADMIN

74  ERATABLEAU                    | SERVER            | DELL             | POWEREDGE 1750          | 826MKB2                                      | U39     | ADMIN

75  EVADSDC4                      | SERVER            | DELL             | POWEREDGE R630          | DG12182                                      | S34     | ADMIN

76  EVAIRWAVE                     | SERVER            | DELL             | POWEREDGE R720XD        | 2JPN3V1                                      | S39     | ADMIN

77  EVAIRWAVE2.CI                 | SERVER            | DELL             | POWEREDGE R720XD        | BZNN3V1                                      | S39     | ADMIN

78  EVAIRWAVE3.CI                 | SERVER            | DELL             | POWEREDGE R730XD        | 5XQ3V52                                      | S39     | ADMIN

79  EVARCR11                      | SERVER            | DELL             | POWEREDGE R640          | 6ZVSN23                                      | S34     | ADMIN

80  EVARCR12                      | SERVER            | DELL             | POWEREDGE R640          | 6ZWRN23                                      | S34     | ADMIN

81  EVARCR13                      | SERVER            | DELL             | POWEREDGE R640          | 6ZWQN23                                      | S34     | ADMIN

82  EVARCR14                      | SERVER            | DELL             | POWEREDGE R640          | 6ZTRN23                                      | S34     | ADMIN

83  EVARCR15                      | SERVER            | DELL             | POWEREDGE R640          | 6ZSQN23                                      | S34     | ADMIN

84  EVARCR16                      | SERVER            | DELL             | POWEREDGE R640          | 6ZRQN23                                      | S34     | ADMIN

85  EVCSPDPM01                    | SERVER            | DELL             | POWEREDGE R710          | 53NGXQ1                                      | P34     | ADMIN

86  EVCSPDPM02                    | SERVER            | DELL             | POWEREDGE R710          | 53NJXQ1                                      | T34     | ADMIN

87  EVCSPDPM03                    | SERVER            | DELL             | POWEREDGE R720          | 5G79ZV1                                      | P34     | ADMIN

88  EVCSPMBX01                    | SERVER            | DELL             | POWEREDGE R720          | 3YQTGX1                                      | R34     | ADMIN

89  EVCSPMBX02                    | SERVER            | DELL             | POWEREDGE R720          | 3YQSGX1                                      | R34     | ADMIN

90  EVCSPMBX03                    | SERVER            | DELL             | POWEREDGE R720          | 3YPVGX1                                      | R34     | ADMIN

91  EVCSPMBX04                    | SERVER            | DELL             | POWEREDGE R720          | DRW48Y1                                      | R34     | ADMIN

92  EVCSPMBX05                    | SERVER            | DELL             | POWEREDGE R720          | 4CPJV12                                      | P34     | ADMIN

93  EVCSPMBX06                    | SERVER            | DELL             | POWEREDGE R720          | 4CPKV12                                      | P34     | ADMIN

94  EVCSPSFAST1                   | SERVER            | DELL             | POWEREDGE R720XD        | 4FWC5X1                                      | O34     | ADMIN

95  EVCSPSFAST2                   | SERVER            | DELL             | POWEREDGE R720XD        | 3FWC5X1                                      | O34     | ADMIN

96  EVCSPSSQL1                    | SERVER            | DELL             | POWEREDGE R710          | F1BFJS1                                      | U34     | ADMIN

97  EVCSPSSQL2                    | SERVER            | DELL             | POWEREDGE R710          | F1BCJS1                                      | R34     | ADMIN

98  EVDSPDPM04                    | SERVER            | DELL             | POWEREDGE R710          | JHPMMN1                                      | T34     | ADMIN

99  EVESX15                       | SERVER            | DELL             | POWEREDGE R620          | 9SBJDX1                                      | R39     | ADMIN

100  EVESX16                       | SERVER            | DELL             | POWEREDGE R620          | 9S9JDX1                                      | R39     | ADMIN

