 fin_ops_asset_tag |  fin_ops_serial   | fin_ops_po |   dct_po   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
 00080331          | D357P22           | PUR0783342 | PUR0783342 | D357P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR07
 00080332          | D345P22           | PUR0783342 | PUR0783342 | D345P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR08
                   |                   |            | PUR0783342 | D354P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR10
                   |                   |            |            | 6ZVSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR11
                   |                   |            |            | 6ZWRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR12
                   |                   |            |            | 6ZWQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR13
                   |                   |            |            | 6ZTRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR14
                   |                   |            |            | 6ZSQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR15
                   |                   |            |            | 6ZRQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACR16
 00080330          | D337P22           | PUR0783342 | PUR0783342 | D337P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR6
 00084691          | D355P22           | PUR0783342 | PUR0783342 | D355P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR9
 00083979          | D355P22           | PUR0783342 | PUR0783342 | D355P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR9
 00080317          | HP5SK02           | PUR0715561 | PUR0715561 | HP5SK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT10
 00080318          | HP5ZK02           | PUR0715561 | PUR0715561 | HP5ZK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT11
 00081501          | G42GGB2           | PUR0988321 | PUR0988321 | G42GGB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVRACT12
 00081500          | G42HGB2           | PUR0988321 | PUR0988321 | G42HGB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVRACT13
 00081499          | G42JGB2           | PUR0988321 | PUR0988321 | G42JGB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVRACT14
                   |                   |            | PUR1543735 | 6ZTSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT15
                   |                   |            | PUR1543735 | 6ZVRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT16
                   |                   |            | PUR1543735 | 6ZTQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT17
                   |                   |            | PUR1543735 | 6ZRRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT18
                   |                   |            | PUR1543735 | 6ZQSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT19
                   |                   |            | PUR1543735 | 6ZNQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT20
                   |                   |            | PUR1543735 | 6ZNSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT21
                   |                   |            | PUR1543735 | 6ZQQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT22
 00080314          | HP5WK02           | PUR0715561 | PUR0715561 | HP5WK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT7
 00080315          | HP5XK02           | PUR0715561 | PUR0715561 | HP5XK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT8
 00080316          | HP6SK02           | PUR0715561 | PUR0715561 | HP6SK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT9
                   |                   |            | PUR0873410 | BVQDS52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX01
                   |                   |            | PUR0873410 | BVQCS52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX02
                   |                   |            | PUR0873410 | BVQFS52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX03
                   |                   |            | PUR1024163 | 7DWYPD2                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX04
                   |                   |            | PUR1024163 | 7DWZPD2                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX05
 00084649          | HM0CXQ2           | PUR1323640 | PUR1323640 | HM0CXQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVSPLIDX06
                   |                   |            | PUR1323640 | H7R5XQ1                                      | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX06-DAS01
 00088061          | 92NZCS2           | PUR1323640 | PUR1323640 | 92NZCS2                                      | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX06-DAS02
 00084648          | HM0DXQ2           | PUR1323640 | PUR1323640 | HM0DXQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVSPLIDX07
 00084650          | HNQ6XQ2           | PUR1323640 | PUR1323640 | HNQ6XQ2                                      | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX07-DAS01
 00084651          | H7R8XQ2           | PUR1323640 | PUR1323640 | H7R8XQ2                                      | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX07-DAS02
 00080313          | 3Z5BH02           | PUR0695223 | PUR0695223 | 3Z5BH02                                      | DELL          | POWEREDGE R620      | SERVER   | EVSPLIDX91
 00084644          | 3CV81Q2           | PUR1326725 | PUR1326725 | 3CV81Q2                                      | DELL          | POWEREDGE R640      | SERVER   | EVSPLSES01
                   |                   |            | PUR0873410 | BVQ8S52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLSRC01
                   |                   |            | PUR0873410 | BVPMS52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLSRC02
 N0031657          | 8TQZ482           | PUR0963917 | PUR0963917 | 8TQZ482                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLSRCES
 N0031694          | HHNZHB2           | PUR1001739 | PUR1001739 | HHNZHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVVSRX01
 00081486          | HHP0JB2           | PUR1001739 | PUR1001739 | HHP0JB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVVSRX02
 00084413          | 4JMHHQ2           | PUR1333388 | PUR1333388 | 4JMHHQ2                                      | DELL          | POWEREDGE R740XD    | SERVER   | EVVSRX04
 00084645          | 4JN9HQ2           | PUR1333388 | PUR1333388 | 4JN9HQ2                                      | DELL          | POWEREDGE R740XD    | SERVER   | EXVSRX03
 00080195          | 1HFY842           | PUR0814460 | PUR0814460 | 1HFY842                                      | DELL          | POWEREDGE R620      | SERVER   | FFRATM1PRD
                   |                   |            | PUR1334469 | JCPPHQ2                                      | DELL          | POWEREDGE R640      | SERVER   | FFRATM1PRD2
 00080196          | 4TK3S52           | PUR0868095 | PUR0868095 | 4TK3S52                                      | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP07
 00080197          | 4TK4S52           | PUR0868095 | PUR0868095 | 4TK4S52                                      | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP08
 00080198          | 4TK5S52           | PUR0868095 | PUR0868095 | 4TK5S52                                      | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP09
 N0031819          | 82N0CH2           | PUR1103202 | PUR1103202 | 82N0CH2                                      | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP12
                   |                   |            |            | 9178VR1                                      | DELL          | POWEREDGE R710      | SERVER   | NUFMZENMASTER
                   |                   |            |            | 9179VR1                                      | DELL          | POWEREDGE R710      | SERVER   | NUFMZENSLAVE
                   |                   |            |            | CZ3920T4Z3                                   | DELL          | POWEREDGE R720      | SERVER   | NUQVMHOST06
                   |                   |            |            | CZ3920T4Z5                                   | DELL          | POWEREDGE R720      | SERVER   | NUQVMHOST07
