1              name              |      vendor      |       type        |          model          | contact  | service_owner_department |         service_owner_contact          |      technical_contact      | cabinet | function 
128  EVESXC04N01-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

129  EVESXC04N02-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

130  EVESXC04N03-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

131  EVESXC04N04-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

132  EVESXC04N05-Q34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

133  EVESXC04N06-Q34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

134  EVESXC04N07-Q34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

135  EVESXCLOUD31                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

136  EVESXCLOUD32                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

137  EVESXCLOUD33                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

138  EVESXCLOUD34                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

139  EVESXCLOUD35                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

140  EVESXCLOUD36                  | DELL             | SERVER            | POWEREDGE R630          |          | SO                       | NUIT-CI-PIPS-INFRASTRUCTURE            | BRAD PRILLER                | U39     | ADMIN

141  EVESXCLOUD37                  | DELL             | SERVER            | POWEREDGE R630          |          | SO                       | NUIT-CI-PIPS-INFRASTRUCTURE            | BRAD PRILLER                | U39     | ADMIN

142  EVESXCLOUD38                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN

143  EVESXCLOUD39                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN

144  EVESXCLOUD40                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN

145  EVESXCLOUD41                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN

146  EVESXCLOUD42                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN

147  EVESXCLOUD43                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN

148  EVESXCLOUD44                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN

149  EVESXCLOUD45                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

150  EVESXCLOUD46                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

151  EVESXCLOUD47                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

152  EVESXCLOUD48                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | O34     | ADMIN

153  EVESXCLOUD49                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

154  EVESXTNSC01N02                | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                | CHRIS FABRI                 | S39     | ADMIN

