1                  name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
192  CHCSPMBX06-DAS06B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BGLV12                                                        | 0215.30

193  CHCSPMBX06-DAS06C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BGMV12                                                        | 0215.30

194  CHSOCFILE02                          | STORAGE            | DELL              | POWEREDGE R720XD                      | 7RWZDZ1                                                        | 0215.35

195  CHSPLIDX01                           | STORAGE            | DELL              | POWEREDGE R630                        | BYPLS52                                                        | 0215.24

196  CHSPLIDX01-DAS01                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3D5T52                                                        | 0215.24

197  CHSPLIDX01-DAS01^^6966               | STORAGE            | DELL              | POWERVAULT MD1220                     |                                                                | 

198  CHSPLIDX01-DAS02                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3DCT52                                                        | 0215.24

199  CHSPLIDX02-DAS01                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3D7T52                                                        | 0215.24

200  CHSPLIDX02-DAS02                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3DFT52                                                        | 0215.24

201  CHSPLIDX03-DAS01                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3DBT52                                                        | 0215.24

202  CHSPLIDX03-DAS02                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3DGT52                                                        | 0215.24

203  CHSPLIDX06                           | STORAGE            | DELL              | POWEREDGE R640                        | HM09XQ2                                                        | 0215.26

204  CHSPLIDX06-DAS01                     | STORAGE            | DELL              | MD1400                                | HNQ3XQ2                                                        | 0215.26

205  CHSPLIDX06-DAS01^^6433               | STORAGE            | DELL              | MD1400                                |                                                                | 

206  CHSPLIDX06-DAS02                     | STORAGE            | DELL              | MD1400                                | H7R5XQ2                                                        | 0215.26

207  CHSPLIDX07                           | STORAGE            | DELL              | POWEREDGE R640                        | HM0BXQ2                                                        | 0215.26

208  CHSPLIDX07-DAS01                     | STORAGE            | DELL              | MD1400                                | HNQ4XQ2                                                        | 0215.26

209  CHSPLIDX07-DAS02                     | STORAGE            | DELL              | MD1400                                | H7R6XQ2                                                        | 0215.26

210  CHSPLUNKDISK04                       | STORAGE            | DELL              | POWERVAULT MD1420                     | 6CTOQD2                                                        | 0215.25

211  CHSPLUNKDISK04-DS2                   | STORAGE            | DELL              | POWERVAULT MD1420                     | 6CSXPD2                                                        | 0215.25

212  CHSPLUNKDISK05                       | STORAGE            | DELL              | POWERVAULT MD1420                     | 6CSZPD2                                                        | 0215.25

213  CHSPLUNKDISK05-DS2                   | STORAGE            | DELL              | POWERVAULT MD1420                     | 6CSTPD2                                                        | 0215.25

214  CHVMBKUP01-DAS                       | STORAGE            | DELL              | POWERVAULT MD1200                     | 82HNKS1                                                        | 0215.29

215  CHVMBKUP01A-DAS                      | STORAGE            | DELL              | MD1400                                | 98H0JK2                                                        | 0215.26

216  KIS STORGE 3                         | STORAGE            | DELL              | POWERVAULT MD1000-SB                  |                                                                | 0215.23

217  KIS_DR_MD1400                        | STORAGE            | DELL              | MD1400                                | CZMBND2                                                        | 0215.23

218  KIS_DR_MD1400^^6787                  | STORAGE            | DELL              | MD1400                                |                                                                | 

219  CHISILON01-N1                        | STORAGE            | EMC               | ISILON X400                           | SN400-201326-0056                                              | 0215.38

220  CHISILON01-N2                        | STORAGE            | EMC               | ISILON X400                           | SN400-201326-0053                                              | 0215.38

221  CHISILON01-N3                        | STORAGE            | EMC               | ISILON X400                           | SN400-201326-0051                                              | 0215.38

222  CHISILON01-N4                        | STORAGE            | EMC               | ISILON X400                           | SN400-301410-0307                                              | 0215.38

223  CHISILON01-N5                        | STORAGE            | EMC               | ISILON X400                           | SN400-301410-0296                                              | 0215.38

224  CHISILON01-N6                        | STORAGE            | EMC               | ISILON X400                           | SN400-301610-0044                                              | 0215.38

