IP	Name	Module_num	Model	Serial	Software	firmware	memory	HW	Last Seen	Module ip	
129.105.254.174	ngarage-1852-esw-1	0	WS-C3850-48P-L	FOC1832X1D0	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.138	cci-1n-esw-1	0	3850-stack	FCW1848C0J0	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
129.105.254.138	cci-1n-esw-1	1	WS-C3850-48P-L	FCW1848C0J0	Denali 16.3.9		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.138	cci-1n-esw-1	2	WS-C3850-48P-L	FOC1911U08Y	Denali 16.3.9		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.139	cci-2n-esw-1	0	WS-C3750X-48P	FDO1649Z2KN	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.143	cci-2s-esw-1	0	WS-C3850-48P-L	FOC1803V2T6	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.140	cci-3n-esw-1	1	WS-C3850-48P-L	FCW1823C0B6	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.140	cci-3n-esw-1	2	WS-C3850-24P-L	FOC1812X0J3	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.144	cci-3s-esw-1	0	WS-C3850-48P-L	FOC1818U129	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.141	cci-4n-esw-1	0	WS-C3750X-48P	FDO1650Z1CF	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.142	cci-4s-esw-1	0	WS-C3850-48P-L	FOC1823X0MY	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.137	cci-idf-esw-2	0	WS-C3750X-24P	FDO1525K0PR	15.0(2)SE2		0	V02	4/27/20 1:00	0.0.0.0	
129.105.254.190	kemper-1-esw-1	0	3850-stack	FOC1813U080	Denali 16.3.8		0		4/27/20 1:00	0.0.0.0	
129.105.254.190	kemper-1-esw-1	1	WS-C3850-48P-L	FOC1748X157	Denali 16.3.8		0	V02	4/27/20 1:00	0.0.0.0	
129.105.254.190	kemper-1-esw-1	2	WS-C3850-48P-L	FOC1813U080	Denali 16.3.8		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.190	kemper-1-esw-1	3	WS-C3850-24P-L	FOC1812Y1SM	Denali 16.3.8		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.177	kemper-2-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.177	kemper-2-esw-1	1	WS-C3750X-48P	FDO1650P172	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.177	kemper-2-esw-1	2	WS-C3750X-24P	FDO1643Z27G	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.179	kemper-3-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.179	kemper-3-esw-1	1	WS-C3750X-48P	FDO1650Z091	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.179	kemper-3-esw-1	2	WS-C3750X-48P	FDO1537Z064	15.0(2)SE2		0	V02	4/27/20 1:00	0.0.0.0	
129.105.254.181	kemper-4-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.181	kemper-4-esw-1	1	WS-C3750X-48P	FDO1650P19K	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.181	kemper-4-esw-1	2	WS-C3750X-24P	FDO1641Z2A6	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.156	lind-4-esw-1	0	3750-stack	0x17	15.2(4)E6		0		4/27/20 1:00	0.0.0.0	
129.105.254.156	lind-4-esw-1	1	WS-C3750X-48P	FDO1650P19N	15.2(4)E6		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.156	lind-4-esw-1	2	WS-C3750X-24P	FDO1536R1M4	15.2(4)E6		0	V02	4/27/20 1:00	0.0.0.0	
129.105.254.209	ngarage-1635-esw-1	0	3850-stack	FOC1807U0Q7	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
129.105.254.209	ngarage-1635-esw-1	1	WS-C3850-48P-L	FCW1832C0HN	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.209	ngarage-1635-esw-1	2	WS-C3850-48P-L	FCW1832C1C2	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
